horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0020863789002601133,-0.00637326561985584,0.002037562865816281,-0.004815828874792882,0.0004337084100910606
1,-0.004367919273924289,-0.009253015485727739,-0.00023847165348506692,-0.007146178846903415,-0.0022757206064172256
2,-0.005123855539780787,-0.011111386816032952,0.002428689703611984,-0.008613279386429105,-0.0011606295430171493
3,0.0006482117270309335,-0.0059063653109320295,0.005769974535862153,-0.003273458735604621,0.0035448243987619144
4,-0.0042287695901981346,-0.010580603591734773,0.0006104586079676948,-0.00807682003619562,-0.0013035594923309305
5,-0.006538584121700277,-0.013840140473421844,-1.8668493081235027e-6,-0.01072239369464888,-0.0023891143123250195
6,-0.004352807829178158,-0.008755509258726653,-0.0001393062089460398,-0.007151431466147174,-0.0018177505828234687
7,-0.00149290360036139,-0.006495342017144537,0.0048706268018467195,-0.004410476775913982,0.0026067336063023833
8,-0.0030028454698016447,-0.007318602155230402,0.0013843597670401098,-0.00552181984246225,-0.00048419584893441255
9,-0.00013602864169603713,-0.005882616079068406,0.004433167104232637,-0.0037921696761597386,0.00220745615421617
10,-0.0062594907133300985,-0.011604705929733682,-0.0020080077172649306,-0.009895366012997144,-0.003817551344045678
11,-0.006471820916170329,-0.011220497241060211,-0.0019987701820011897,-0.009210623437701832,-0.0036339996808140524
12,-0.0045854248051545796,-0.010740085024752526,0.00026875842943000546,-0.00881085529324024,-0.001537110323318591
13,-0.004684144809615882,-0.010051258415398938,0.0009113211684577101,-0.00792216085385586,-0.0014863681905725847
14,-0.00657317726513346,-0.012434009630060118,-0.0011494584386004137,-0.009892132360211896,-0.003942019971291615
15,-0.004957261083847656,-0.01094634502629829,-0.0002153137557265013,-0.008579819312153712,-0.002025092415277795
16,-0.003247070648047446,-0.00873445773115808,0.0016389309121577558,-0.006492219624702227,-0.00010946083119177082
17,-0.0008878507391554685,-0.005250273089910546,0.0031109187084284546,-0.0037060746605684577,0.001530225801814221
18,-0.005439543297205719,-0.010855197609539742,-0.0010020582344578473,-0.008569082256395605,-0.002631706145258728
19,-0.007519156588246778,-0.011572979391100146,-0.003645880770669046,-0.010123635831256248,-0.005247126977287065
20,-0.010812706828616315,-0.01637178342052904,-0.00621102201441031,-0.013836411035226492,-0.007823655888551601
21,-0.004530988214591542,-0.008817416616802177,0.0002852921961273699,-0.007367444903375903,-0.0015679843913201474
22,-0.0011800080987340955,-0.0063010613576720866,0.0031470520307208295,-0.004120364207677123,0.00148270187831303
23,-0.004025345388705545,-0.007641671092053406,-0.000639871948927962,-0.006408051253054336,-0.002134597639666863
24,0.0020130272253218577,-0.0029351161484404815,0.006615062565129681,-0.0010585317048014383,0.004732851098905122
25,-0.005824584639480916,-0.01115055994347585,-0.0010600648140240733,-0.009185727162984332,-0.002621805964507171
26,-0.0025067555967055793,-0.008389148770415687,0.0021106066305130863,-0.006478711372624499,0.0005667407138811443
27,-0.004996245102068108,-0.011674466157748989,-0.00042641129288119913,-0.008819036164316861,-0.0018959628629508494
28,1.2662131421855325e-5,-0.005446125578068213,0.005172583665551366,-0.0033657130758198628,0.003112692859812661
29,-0.005252037621624817,-0.011866915970297045,-0.00032052583150380103,-0.00867815607776137,-0.002349229444153712
30,0.00047945790060464866,-0.004083829819731505,0.0047751543539776625,-0.0020323722883149277,0.002998465179656056
31,-0.0059083781221625775,-0.011372075200521827,-0.0013393119837317837,-0.009187993912690949,-0.0030427682823277423
32,-0.006720614361277144,-0.011705101427563671,-0.0019976410168928193,-0.009795317249792851,-0.004009662542320526
33,-0.005605573210503747,-0.00975824277152944,-0.0014812309047332493,-0.00822551836114325,-0.0032055089089872016
34,-0.003898517418312387,-0.008621994893456891,0.0003917405161059425,-0.006783480426311996,-0.0014063806694469298
35,-0.004822162667387622,-0.009756660520439258,-9.56191631572463e-7,-0.00812621729962534,-0.0015904385322652185
36,-0.0059784330464170855,-0.01141084716300624,-0.0008665655169856927,-0.009136336911025039,-0.002875380596172103
