horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.0025641251496728635,-0.005557674880048456,0.009193134412700197,-0.002003962225780025,0.006274061490558997
1,0.0008472529634720657,-0.0037991984733397304,0.005683351101494282,-0.002015057805266871,0.0034059450390350075
2,-0.0035454718173473605,-0.010300954568870594,0.003207202631605342,-0.007511755622622316,0.000513534802108786
3,0.0051652788489608605,-0.002515408627790706,0.013409933642074115,0.000511249613732335,0.009743915856393146
4,-0.006523725961329465,-0.012865327251398835,-8.969038755092182e-6,-0.0107338373189081,-0.0027810416164876918
5,-0.006689593322060711,-0.013356913839308652,-0.0006730437725635426,-0.010829152596216661,-0.0031436705276568816
6,0.0005874373178139928,-0.006233256492815353,0.00691502970252168,-0.0036206770424815756,0.004284599673289088
7,-0.002697643005296639,-0.009178576707839182,0.002951156606232469,-0.006282296631748228,0.0010547927752762886
8,0.00600372572085563,-0.0010961526010976773,0.01316085380644913,0.0021443880424685644,0.010203780615527284
9,0.0010836600890209004,-0.0047944950418373515,0.007439080549058407,-0.0026393577597422016,0.004627423917783261
10,-0.005059692511843832,-0.010495048473147209,0.0006351344184239507,-0.008172988089178521,-0.0015525628874451729
11,0.007725957279869545,0.0017961246484525248,0.013045373584840463,0.004146693972685671,0.010983089106140029
12,-7.306959897627906e-5,-0.005508580841119504,0.007128997857508824,-0.0036894332531218267,0.004167028137862593
13,-0.0032301798104124252,-0.009467761536268209,0.001784367518774409,-0.0066589491720784365,-0.00034658370182580073
14,-0.0014455316165160176,-0.0072767570724172415,0.004367644267704468,-0.004759044634770871,0.002208562155074839
15,0.009236163214296388,0.003474678853049201,0.015409110750918874,0.0058944791578801736,0.012991481310758796
16,-0.006397880686832863,-0.011858977820717992,-0.0008370761521556422,-0.009332111028501719,-0.003071414588829408
17,-0.0047104160508368185,-0.010294062261952945,0.0016824487591017073,-0.008264165653699099,-0.001025587334106546
18,-0.005913981647146075,-0.011918276108068861,0.00021416569251466247,-0.009687944029766306,-0.0025922622294192563
19,-0.0026080951496026033,-0.008368907375999279,0.0022475025581463063,-0.0056757925650406,0.0004770189353776634
20,-0.0004596933617296196,-0.007532442436520948,0.005207039434634601,-0.004314821758054373,0.0028981969582863388
21,-0.0006646905357668613,-0.006185473079051108,0.0048575817770329975,-0.0041099459701309845,0.0029565864553988772
22,-0.005937880191166731,-0.011813605499095107,-0.0001564270870355218,-0.009693911591719844,-0.002474056641280332
23,0.005648202311713747,0.0003027021138126435,0.011414075740344858,0.0025051341787248474,0.00923778890536484
24,-0.0037334055915511483,-0.00916149802682257,0.0015553010946586384,-0.007054773066021965,-0.0004188231007250429
25,0.005264431726689897,9.241646979659453e-5,0.011038073013653685,0.0018651417122393064,0.008813426010155345
26,-0.002915262513023608,-0.008871672953709258,0.003553878077195335,-0.006595042896460203,0.001000574349440485
27,-0.0029138655900123713,-0.008416930798976152,0.002428212597421215,-0.006054510930921303,0.0005057768896094151
28,-0.006410268597354139,-0.012263333483682902,-0.0009368045375470055,-0.0101424716326957,-0.003106251864369606
29,0.0011430479478779106,-0.005461241689271562,0.007625194019376405,-0.0030280605774541274,0.004963328773977068
30,-0.0071458733985805675,-0.012990577006060725,-0.0013108754469628118,-0.010529714460674106,-0.0036650563317187097
31,0.0037987018911076263,-0.0025037820932534032,0.01082098672913226,-0.0002990155690760078,0.008011477126245215
32,0.0018377674873336462,-0.004313754625515121,0.008981179624518509,-0.002036727862560959,0.006300810517060764
33,0.004744263622063539,-0.0010085368336289792,0.012431556929340896,0.0012356027446003104,0.009335938629976465
34,0.001981380300131902,-0.005612802774373924,0.008352857015931756,-0.0027929905934574663,0.005746963864967827
35,0.0009703206202411079,-0.008624555400713873,0.008748499353656876,-0.00525902622443948,0.005326519260738371
36,-0.007272098949758102,-0.016707994731712947,-0.0008875009136035386,-0.012291922360164092,-0.0032109224871015333
