horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0027478463930406113,-0.006758252781983338,0.0012032243394519216,-0.005505115306998652,-0.00039138800738023347
1,-0.002984232790800632,-0.007035013385136886,0.0005559261247751971,-0.005478009752558103,-0.0007902360635999067
2,0.002694426539147571,-0.0008478793229098141,0.006110773104697563,0.0002974520124654962,0.004705741599464377
3,-0.005094395303946317,-0.009454958965126159,-0.000705459130487163,-0.007299296825744135,-0.0025900642374255896
4,-0.003308473309646817,-0.007277733484179121,0.00031042958265299495,-0.005681160768402367,-0.0012229503819465915
5,-0.006011987131234175,-0.009565198129170262,-0.0027298317098328933,-0.007986006092139935,-0.0040992147418638485
6,0.0019593345831217914,-0.0022893114546767342,0.0067126475437698134,-0.0004848927329686478,0.004674433561250493
7,-0.0037437062378226356,-0.008302233331513767,0.0002041446317148361,-0.006381876613235787,-0.00136090962874967
8,-0.0019053049954042935,-0.006430632371920776,0.0029470464544786006,-0.0046168360486640945,0.0007860901694809652
9,-1.3131460712454162e-5,-0.003962102119983479,0.0033846457465193987,-0.0022546120815429855,0.0020520402068480137
10,-0.0030213529190391388,-0.006868897586700792,0.0008463288796105388,-0.0052022168348731315,-0.0008493590685027625
11,-0.00232945374721704,-0.006193519284478421,0.0010483478989355218,-0.00462498257678491,-0.00018383482146250687
12,0.0006689035663972412,-0.004095631371631015,0.004721773974938899,-0.0019007131448387806,0.003050103197197407
13,0.00195702494167177,-0.0017919981490022458,0.005526269471577884,-0.00041911511703445533,0.004111837196702387
14,0.0023130210608923694,-0.001532552191440324,0.005579348951660316,7.230997813777304e-5,0.004358601754208718
15,0.0044627937373772075,0.0004151569368600651,0.008007154009072637,0.0022356614633501793,0.006452646135992479
16,-0.004116897545851272,-0.007717182150334741,-0.00020366487922984008,-0.006381132329693088,-0.0018320116436890696
17,-0.00018614202325946606,-0.004008617038630088,0.0036535715083237277,-0.00238008720911275,0.0021878802354361507
18,-0.004562617642532092,-0.008652258259636485,-0.0004726837263257372,-0.006827454883317815,-0.002064429836192832
19,-0.0055764342613879875,-0.010658298021539232,-0.0012834189880166604,-0.0087411612217445,-0.0028547966275188443
20,0.0074330947237092534,0.0024097149047416014,0.01280082912769847,0.004018463813458963,0.01078473917207427
21,-0.0005799901427380233,-0.004535368397049924,0.0036246475329215983,-0.0033038797956525846,0.001928792406213081
22,0.0008448738784349974,-0.004258833161659375,0.004622574644042813,-0.0023753173622109596,0.0031947669163674133
23,-0.0018174981737855609,-0.006362315344100542,0.0032617955208205196,-0.004578225136674466,0.00107472057277381
24,0.001446694877661804,-0.0023148591036280895,0.005368221619584109,-0.0009189244946612588,0.003626540952603133
25,-0.009141922443070244,-0.0129013643859085,-0.005520025984969108,-0.011272399919010013,-0.006935067021741709
26,-0.00016566206075016818,-0.004641201363023283,0.004519809425353332,-0.0025607126096366733,0.00258340674456604
27,-0.00074847340402625,-0.004525270917542017,0.0027684278059239126,-0.003049801468162841,0.001470408272605883
28,0.0015820710984723305,-0.00355578028099453,0.005855594820673295,-0.0009982550107634136,0.004300224409546237
29,-0.0040668125580157295,-0.00853721447286946,0.0008919323815577401,-0.006663542410199006,-0.0011257617721400072
30,-0.0012432141517042716,-0.0059208388111854715,0.0034312835870192937,-0.004408299173057358,0.0014837983053540337
31,-0.006824106723464539,-0.010299972621121138,-0.0032275849438424507,-0.008836124146301631,-0.004617070942058206
32,0.003390703006899593,-0.0007620711664295737,0.007898172007055395,0.000954310394966179,0.0060449195307544865
33,-0.0013224683033965083,-0.0054249341565333255,0.0025489383816839476,-0.003918491979089368,0.001075812275231363
34,0.0033465701033118128,-0.0003981398248655249,0.007413601126262463,0.0010785329518848115,0.005872506040230744
35,0.0005481838234043608,-0.004173159062568457,0.004959018073319589,-0.0021297091793003728,0.0029657606801612455
36,-0.0017348963095279776,-0.005344898413911572,0.0025167775233586364,-0.004108831144091956,0.0008453026558406409
