horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.020660370185109102,-0.04717168695570863,-0.0001338417892630915,-0.03563998514149172,-0.007954621283312788
1,0.0007011360644843997,-0.01381308687813603,0.01712250152532737,-0.008720271356871359,0.010596169081819548
2,-0.0157228035775864,-0.033016116260788174,0.0015193349433108017,-0.02623553121648067,-0.004796759336285346
3,0.01377032138552087,-0.005835822382763117,0.03888426514769541,0.0019815882844226307,0.02908055402166328
4,-0.023620367242857855,-0.040029554440884005,-0.0076154131898972,-0.033556107082449625,-0.01489178374998585
5,-0.008715003108590675,-0.02725037223031878,0.012940584477107534,-0.02011220077836364,0.004690628167828148
6,0.00444751179008445,-0.012831416499398365,0.019241910938974427,-0.005313285685752233,0.01385719141509028
7,-0.01098476341019961,-0.03109718785856059,0.0078048047286105714,-0.02336783163702541,-0.0004760304751032368
8,-0.0030619096537378354,-0.022553550295874435,0.01769621639684504,-0.01424091417428092,0.009195010151544846
9,0.023137093901342318,0.001633425342318768,0.04517332099469739,0.009749602220417337,0.03537326537099685
10,0.004012285763143569,-0.01693862159290533,0.02369149376725172,-0.010178603597261436,0.015729604391336086
11,-0.002594261990055379,-0.019379913735717926,0.013945301812192525,-0.013013860773911038,0.006561692041057171
12,-0.030693559058261023,-0.04712030207392123,-0.013617859279468954,-0.04001578849841371,-0.01995761104625765
13,0.003177351109891004,-0.01133766115613578,0.01904301871360733,-0.006295932835155192,0.012924299329354877
14,0.014636200834249154,-0.002891011235777091,0.03139453471348428,0.0032946083507062966,0.024930531428105113
15,0.035979707882863886,0.019815950574662327,0.05143536429593743,0.02744642883094508,0.044854947290585145
16,-0.017516113161715183,-0.0356687133362954,0.0004796752733311656,-0.02891661995925936,-0.007138779544808155
17,-0.005892485541714936,-0.027809969842259332,0.012921779141058291,-0.019293417224725905,0.005665579527975256
18,-0.011975337815609548,-0.030581816184710592,0.007620026632103299,-0.023368582257974467,-0.000252164758143502
19,-0.014793387519776708,-0.028382421083453374,0.0024715498291340583,-0.022412195116110555,-0.003318582428198047
20,-0.0061460557792100395,-0.022073025777255083,0.009769846304597601,-0.0149301888006423,0.0036455202752071272
21,-0.007640049222664975,-0.030733798165121385,0.013502089806745735,-0.020864086686007834,0.006291235641499857
22,-0.0038959180230381295,-0.021623464422457182,0.011108396286844884,-0.013583000508131486,0.004675651898185625
23,-0.012233707694335044,-0.02697837979751659,0.005109207996470227,-0.020193452810034727,-0.0009015408661915657
24,0.0052051633764565305,-0.013357806878153671,0.021567044061864285,-0.006452118964149794,0.014662931058644756
25,-0.0015173167462697388,-0.020027101037703072,0.016672444476458766,-0.013359784356473395,0.010610875629288207
26,-0.03216153410150006,-0.05141366432558136,-0.014948544011898872,-0.04393688758754679,-0.020636043652408446
27,-0.01112232645619954,-0.02825536798904129,0.007871452995433485,-0.0210688819075803,0.0008969514331044239
28,-0.012065962593113596,-0.030425690923777532,0.003730788976693211,-0.022981668987527425,-0.0031010307415451598
29,-0.0005481046166571859,-0.018662657104432726,0.0176919540036172,-0.012281983546344877,0.010491265789803583
30,0.010422113367430036,-0.014531417519864484,0.030389318383659894,-0.002175514826884526,0.021569370218015263
31,0.005983027553158049,-0.014516777988939484,0.022901203586750542,-0.005994855590246959,0.015680148550435907
32,-0.01404286454858681,-0.03200075566455195,0.0015887169073817986,-0.02492244084129722,-0.004390010990177717
33,-0.01731740137906264,-0.03664607333724653,0.00016771422979281608,-0.029600530564640654,-0.006597430543708571
34,-0.003695547540063929,-0.022134392893617818,0.014422984291547397,-0.014428647879876563,0.007089673103338498
35,-0.011481273526998736,-0.03139998734332643,0.005913080190873835,-0.0237728377649569,-0.0017860374662905746
36,0.005916515630480692,-0.01796583741478845,0.027963630852421078,-0.009022488178365845,0.018911378593275015
