horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0009373962659093599,-0.0055260849374797584,0.003870135671324733,-0.003673147207641856,0.0019583133911257313
1,-0.004224520995099135,-0.00913507053799778,0.0002719666429620215,-0.007191666598084538,-0.0016815197572728337
2,-0.0062028209410441995,-0.011539468476053583,-0.0013371690905920799,-0.009157032026424905,-0.0034960502808872172
3,0.0006952738677395173,-0.004308999285095461,0.00444188194844187,-0.0020609052008751256,0.0031788801259967766
4,-0.0012327006076551,-0.005858420214046974,0.003859107825297948,-0.0038757667172837637,0.0018250514777339347
5,-0.0003882917321058912,-0.005607769964734362,0.004422562769152813,-0.00330162796554379,0.0023518742845505328
6,-0.006934354286025528,-0.010273921144379448,-0.0028584336355270716,-0.009131691179065267,-0.00443784368315857
7,-0.000490747636379821,-0.004654390979112977,0.0038709407731722283,-0.002867175741821844,0.002211077960323966
8,-0.010453067845917768,-0.013676925737027612,-0.007420659840627383,-0.012248599284171826,-0.008490261405531916
9,-0.010256954750464009,-0.013710736699135835,-0.0069993214907750866,-0.012302176615524433,-0.008313279026683482
10,-0.003168885131845992,-0.00795968837357937,0.0017358742834063627,-0.006128796654173684,-0.0005989095210870757
11,-0.0048261960723847645,-0.009092096919282608,-0.0011822557334425013,-0.007412472832052928,-0.002711100483193682
12,-0.008108268663984192,-0.012734894840713109,-0.004331231586200201,-0.010541890412468873,-0.005903380210082215
13,-0.009338592470795437,-0.013872422669963818,-0.005076724545211009,-0.011805671628878942,-0.006704058444531294
14,-0.006952557407657332,-0.011335732547312967,-0.0025322569874011765,-0.009644965208392808,-0.004451837100568114
15,-0.00908099820032863,-0.013326980206036515,-0.0047444717606416826,-0.011506483932230319,-0.006335606108961162
16,-0.005041622072768677,-0.010624150302577419,-3.651803744465429e-6,-0.00790144514984727,-0.0017385463502040087
17,-0.005611367509111172,-0.010615974389106931,-0.0005445689854958182,-0.008730495804165548,-0.0026733671730545592
18,-0.001990997730600995,-0.006187149604173103,0.0029932037018982425,-0.004590230047091427,0.0009878523711169128
19,-0.0004016758981407838,-0.00427819926457542,0.004279499857458574,-0.002772323608932785,0.0023090478514559785
20,-0.0037471393152512782,-0.007787673604471141,0.0006040658230725476,-0.00641210348031643,-0.0010954575560936488
21,-0.00693112840397073,-0.010790184534274721,-0.0022748931764353473,-0.009043039999114256,-0.004258854596118055
22,-0.013159446495178178,-0.018137056376349516,-0.008536543471176664,-0.01634383494617039,-0.010568402048583834
23,-0.0076673358535005835,-0.012364754090601622,-0.002895035041243251,-0.010415905689602933,-0.004713045547763056
24,-0.003503276489447784,-0.008983736393853865,0.001492008972850933,-0.006476693187343365,-0.0006240751053593688
25,-0.007811041754964342,-0.011901990592973432,-0.003383308030857831,-0.010447437343746176,-0.005262139612939179
26,-0.008606846888181965,-0.013450638167449243,-0.0040758467293326925,-0.011699865484830228,-0.005899118767495957
27,-0.005773283730326479,-0.010325285776103338,-0.0010252864201848698,-0.008260066609637828,-0.0029226367573348014
28,-0.003308563825336111,-0.00866625816982508,0.0017223795959429,-0.006651546267291931,-0.0003979398965057537
29,-0.008934735925260675,-0.014719195023396432,-0.00398748304832937,-0.012394732195171647,-0.006007916000399003
30,-0.009391266703504727,-0.014286040917731863,-0.004094711254509436,-0.012442436356958532,-0.0061843535859130005
31,-0.012503664776128208,-0.016833498337666588,-0.008210522203470308,-0.015349949948050784,-0.009928791752014918
32,-0.011190839779071843,-0.01721202189228657,-0.004875489140532264,-0.014855598049805772,-0.007899056519828088
33,-0.006070472447448236,-0.010853524996199102,-0.001537497948872953,-0.008945105287277079,-0.0034507372486020445
34,-0.012433887045108847,-0.017726386970629046,-0.00808605030270181,-0.015603553702618,-0.009662448838237933
35,3.428225811637604e-5,-0.005351998919814381,0.00443883393556594,-0.003183171145679991,0.0027598995785932303
36,-0.0062185165887570564,-0.011278707641418112,-0.001482101399021529,-0.008883796147194697,-0.003272034388307192
