horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.00026356602859549036,-0.0003780658601726418,-0.00013579098552050017,-0.0003348821685176284,-0.00018176649848391737
1,-0.0001893147877098454,-0.0003749926967823926,-2.4152784044020404e-5,-0.00028822498896705756,-9.19901719947161e-5
2,-2.802745499705933e-6,-0.000128682579165973,0.00013190497698849083,-8.058016262045458e-5,7.567674398716414e-5
3,-8.226238685013024e-5,-0.0002062305111747856,4.067788261459941e-5,-0.00016364312540657254,-3.5792037789555704e-7
4,6.140156317073516e-5,-6.354273720131717e-5,0.0001865126624793672,-1.1187721304911795e-5,0.0001344167915088372
5,-7.162547837625444e-5,-0.00017877425600421325,4.25291323456816e-5,-0.00013352150955078852,-8.490163329231916e-7
6,-9.94060085009092e-5,-0.00021677951249805846,3.1162719035127714e-5,-0.00016827058295009102,-2.152289491015179e-5
7,-0.00024237625675899442,-0.0003655138024091959,-8.494290207237964e-5,-0.0003164173447712131,-0.00015281803095583497
8,4.983967346486518e-6,-0.0001325896320898016,0.00015639601853010963,-7.292240291027226e-5,9.003101557434037e-5
9,-0.00014373048320127961,-0.0003344252768071294,7.101225441093689e-6,-0.0002604471860097779,-4.979568044782297e-5
10,-7.005730889207847e-5,-0.00018746683869488487,4.276678565111021e-5,-0.00014670041188682303,8.527871492270637e-7
11,-3.9805536977821884e-5,-0.00015223325449206316,0.00011631150566089757,-0.00010278758979235664,3.9402536750913233e-5
12,-0.00010500617682872277,-0.0002364087770113088,2.2094369897360336e-5,-0.00018131683958022094,-2.504478305289794e-5
13,-0.00011721728313670355,-0.0002500047373996764,4.665604381223259e-5,-0.00019951784116339384,-2.3343247450379858e-5
14,7.351233644268424e-5,-9.133094970759758e-5,0.00027026836029173904,-2.0391551578282806e-5,0.00018041473425764313
15,-0.00017077669034504817,-0.00033016854821148347,1.0978444410363085e-6,-0.0002670360624441064,-6.516822627352698e-5
16,-0.00012727032413481623,-0.00025568654374593573,1.472424272295239e-5,-0.00021445032490486807,-5.105605961626491e-5
17,-0.00025643959606231324,-0.00037073138987025133,-0.00013166968701014517,-0.00032474901652954985,-0.00019113250398366383
18,-6.462491855123045e-5,-0.00019195009956443263,7.122411499137372e-5,-0.00013928373625285705,1.5868660468046497e-5
19,-2.0587144114991318e-5,-0.00014434476523489124,0.00010554402954144398,-0.00010160829904856264,4.874044650620947e-5
20,-0.00010253193811449215,-0.0002514740543403138,3.4693730070864414e-5,-0.0001882799893831357,-1.901182410930327e-5
21,-8.248270135101344e-5,-0.00021848493579543769,4.7955018363152223e-5,-0.00016667022701222244,-7.65173578133225e-6
22,-0.00015724897352907286,-0.0002821077364458439,-3.441923864975756e-5,-0.0002361906122549296,-8.306121439310231e-5
23,-3.4249433603928435e-5,-0.00022066912099500953,0.0001483450016510586,-0.00014594558679270798,6.967061117657135e-5
24,-0.0001397807460975778,-0.0002713199139335255,-1.1979244005194673e-5,-0.00022481650238667954,-6.092912391263139e-5
25,-0.00014278862007111593,-0.0002794968547068147,-7.845677267363343e-6,-0.00022989150158147457,-6.618566156490963e-5
26,-0.00025507029623760404,-0.0004111633774585587,-8.075047246046849e-5,-0.0003430051097665838,-0.0001540797975705465
27,-7.90688633390796e-5,-0.00019007715345895906,3.63235957277227e-5,-0.00014678129751619396,-1.4391851865905308e-5
28,4.32756469484361e-5,-0.00011543268431858284,0.00020098029416966258,-5.9289829719832074e-5,0.00013564861887351132
29,-4.236000719937349e-5,-0.0002393648015584347,0.0001761255760111544,-0.00015061845057785832,8.966901952481561e-5
30,-0.00012584402484762413,-0.0002638769455200555,1.1971524333422164e-6,-0.00020752325830503842,-5.157927135136118e-5
31,-8.604881079508712e-5,-0.00021075697593400655,4.971780637116762e-5,-0.000159472273910192,-2.0185496780950927e-5
32,3.560296486947548e-5,-8.8546135085944e-5,0.00020598879413079456,-4.650333066204521e-5,0.00014335698408940922
33,-0.00013522517551712394,-0.00029416663557286246,3.7334249379523385e-5,-0.00022763472984793683,-3.931694982986674e-5
34,-5.571083383352418e-5,-0.000249989120087738,0.00014373241200007618,-0.00016038131985401504,6.758759997497187e-5
35,-6.142943622314188e-5,-0.00021689783329159016,0.00010064720461647394,-0.00015931900549331104,4.738168718198868e-5
36,-2.221915265891155e-5,-0.0001633325003059967,0.00013952984215177692,-0.00010521582354385105,6.514273690999758e-5
