horizon,coef_name,beta,se,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,shock_g1,-0.00027640837523671444,0.00040564686849115894,-0.0008090547308096113,0.00023203063823781333,-0.0006196737540234001,3.888968140706322e-5
0,shock_g2,-2.038054887306847e-5,0.00017596020939549385,-0.0002511809273510828,0.00019877562750019638,-0.00015832878085443128,9.784237787537894e-5
0,shock_g4,-1.9072859300857903e-5,0.0002171763835822128,-0.00028614259871697994,0.0002568420261278434,-0.00019021475050657946,0.00014828014886004642
0,shock_g5,-0.0002870340226923561,0.00016283176674789627,-0.0005112335426077967,-8.398302974306105e-5,-0.0004101294318499904,-0.00016063312654066418
0,shock_g6,0.00013980373099969895,0.00011721154768611738,-2.7551500044310057e-6,0.0003000229582608825,5.4748239678199256e-5,0.00023983673129745228
0,shock_lag1,-2.6662455095546253e-5,9.490155609486511e-5,-0.00014126781536717218,9.434268327396017e-5,-9.977061712471133e-5,6.0408057652083684e-5
0,ylag1,0.7936682472370902,0.024467121430434915,0.7681038987525457,0.8169749262298167,0.7792160154454532,0.8091061913502656
0,log_oil_lag1,-2.635663246335058e-5,7.80873914144456e-5,-0.00013972301301187098,5.554971839139903e-5,-9.531019846584655e-5,3.183709097419885e-5
0,ffr_lag1,-3.394797380940268e-5,3.5296956873056345e-5,-8.239003731050424e-5,1.668213806050638e-5,-6.28198032188372e-5,-2.680686193174752e-6
0,cpi_lag1,-1.5679638853207623e-6,1.2930804719132963e-6,-3.3465926633425186e-6,3.6984907469699606e-7,-2.562369386891159e-6,-3.160214878908984e-7
0,indpro_lag1,-2.0972474374868925e-7,4.12294886751429e-6,-5.680278041239889e-6,5.4355360689156035e-6,-3.620015584108146e-6,3.2089238182635853e-6
0,t10y3m_lag1,-6.777589038361378e-5,6.228600678919261e-5,-0.0001466070651839542,2.0713671409076736e-5,-0.00011710623988122701,-1.1767667498613279e-5
0,age_mean,7.015271189287327e-5,4.1644669973356764e-5,2.3963854128753714e-5,0.00012172627233303826,4.000563728461437e-5,0.00010090087517045131
0,female_share,-0.005554861911682334,0.0009002852263782099,-0.006571252204851397,-0.00451618054324634,-0.006219599220935127,-0.00485661364990241
1,shock_g1,-0.0004622854635127589,0.0003852031591178782,-0.0009780038316478403,2.7426793719457013e-5,-0.0007812396713319731,-0.00017371473012012272
