horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.00018255950960789638,-0.0003696281563083083,-2.425689687947426e-5,-0.0002887666718850079,-9.048015328381097e-5
1,-0.00016105037502297883,-0.00031745573727388226,-3.8661730565823225e-6,-0.00025308930717167857,-6.030561595810769e-5
2,-5.855623708937806e-5,-0.00022389033641152234,0.00011781682107271863,-0.00015579296811872635,4.739539351865268e-5
3,7.976391102716155e-5,-9.343732670781712e-5,0.0002593351205011438,-1.732700411415611e-5,0.0001896461447323404
4,-0.00013714986710034463,-0.00034339603775979805,0.00010211346395706141,-0.00025198944780042634,1.6187354886865093e-5
5,-7.651950604025545e-5,-0.0003058430379026758,0.0001636007055192135,-0.0001949336955858702,9.180693724837461e-5
6,-3.7747862076049906e-6,-0.0002584266221618947,0.00028844675863096174,-0.0001548022169691365,0.00017039675548556507
7,0.00010690605779201093,-4.028478865028147e-5,0.0002914835280941249,2.000072231625611e-5,0.0002296619225667639
8,2.174744070394291e-5,-0.00018440520383967637,0.0002035477972146433,-0.00010763023846668364,0.00012859540232010492
9,7.933454177032792e-5,-6.88198527865841e-5,0.00020726867244165914,-7.769433535782076e-6,0.0001594174073620898
10,-0.00023433390888836575,-0.0004368811973312749,-3.3357710295235985e-5,-0.00033963190523003564,-0.00011062078597892831
11,-0.00011033111073402847,-0.00024817457973592375,4.417649877781391e-5,-0.0001915587634350666,-1.3029928705345198e-5
12,-0.00010709101253718447,-0.00028170921127257007,6.921954187483372e-5,-0.00021442602082249145,-1.1829456162204348e-7
13,-0.0001206954386998843,-0.00028196724329397567,3.9198434892131624e-5,-0.00022227104512301227,-3.020588138281371e-5
14,-8.356322036797276e-5,-0.00028860715994819534,9.547169777613855e-5,-0.00019768630049127052,3.139482228725587e-5
15,-1.8594224409374186e-5,-0.00020423101538678232,0.00014849747021836168,-0.00014766552042521795,8.057774313497163e-5
16,-0.00011044676030912216,-0.0003763035514076379,0.0001637053087883997,-0.000251529617294501,4.4162698696658596e-5
17,1.1190677264547358e-5,-0.00016388895210706517,0.0002000834046114682,-9.977671502929149e-5,0.00012844881187410454
18,-5.0692414856758255e-5,-0.0002780979029627513,0.0001315821942050919,-0.0001889422748443667,7.470932973800665e-5
19,-0.0001549127636256563,-0.00036709257399695496,6.945547793177223e-5,-0.0002603319301762194,-2.265984432223378e-5
20,-0.00010636551873724243,-0.0003483454874134165,7.494815848474996e-5,-0.00023006122299636442,9.68018594172804e-6
21,-0.0001224153107853721,-0.00033043799580753517,3.7670933443531926e-5,-0.00024187815188769324,-2.227437372264438e-5
22,-0.00040217942291041016,-0.0006475886445860699,-0.000193107465519584,-0.0005376389870712812,-0.0002653906596448214
23,-0.00018942500686648772,-0.0004664261914126657,0.00012068667235721464,-0.00035396382634030017,-6.721201544646348e-6
24,-4.303789014079361e-5,-0.0002850951228691061,0.00014764060477733448,-0.00018932143323014945,8.769142297049627e-5
25,-0.00021276113068140234,-0.00045671933098401826,1.9451723924290333e-5,-0.00034376027907771485,-6.411907147920254e-5
26,-1.3075547013059697e-5,-0.00024390635691685944,0.00018803947886446951,-0.00014497552326996706,0.00011694628585224139
27,-0.00010554532785517109,-0.0003323687913001478,5.4679131042733654e-5,-0.0002315200878519247,-1.5025631178171875e-6
28,-7.725741152350541e-5,-0.0002718907670603675,0.00010931107767832494,-0.000208132139174618,3.0503292755380894e-5
29,1.029697940284839e-6,-0.00020389846777659165,0.00017968555945022214,-0.00012058029403224757,0.00011854179369703498
30,-0.0002060215564848126,-0.00047141761204395286,1.8329767231480693e-5,-0.0003683223397927215,-6.743060671870313e-5
31,-4.5756357382967296e-5,-0.00029092240373206047,0.00017411750346078652,-0.00019775617961554514,0.0001081304067557341
32,2.3055548474514428e-5,-0.00021937984397278103,0.00024199854961278974,-0.00012149273492367169,0.00016069522730676478
33,-0.00015916951276313717,-0.00042861248185563903,0.00011437249613797557,-0.000323886925066044,1.2574448835476034e-5
34,-0.00015014257915286564,-0.00042508214758601656,9.00149386258764e-5,-0.00030856051004868107,2.463724085488854e-6
35,6.687600843388459e-5,-0.0001778706798518773,0.0002650763311964467,-7.460149751503629e-5,0.0001909015129992801
36,-7.795508861854651e-5,-0.00033752826621165,0.00016940916929124625,-0.00022075295191022762,7.478001192453349e-5
