horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.00013653915362002938,1.439499169052886e-5,0.00027021636362290825,5.9054703198830444e-5,0.00022086974106622412
1,-4.993642805404328e-5,-0.00018735508947715084,9.743939971744126e-5,-0.00013401965661835228,3.856032563142383e-5
2,-4.2523304372356616e-5,-0.0001880016839611747,0.00011444845151695383,-0.00012329332752907186,4.868259487223342e-5
3,0.000127275589798721,-2.0505905173307573e-5,0.0002668942183006876,3.923886327007545e-5,0.00021964138422006908
4,4.640308541448307e-5,-5.8233156108598836e-5,0.00017884142894735897,-1.994667021010596e-5,0.00012885051932782308
5,-8.724455610268649e-6,-0.0001760395428852442,0.00016084592280240248,-0.00010443572538486102,0.00010126445922710297
6,0.0002414780505422942,0.0001005923229257904,0.00038006956356123053,0.00015858362117574952,0.0003180312111497936
7,-3.1705498055270944e-5,-0.00020250937391949942,0.0001007908491951113,-0.0001282872794096948,5.327043077936999e-5
8,-4.890187192482311e-5,-0.00017661631891522018,7.940221697944629e-5,-0.00012857180210199855,2.636966478295055e-5
9,6.766072766462566e-5,-7.672662612641269e-5,0.00019759817257622962,-2.0136584751854656e-5,0.00014855884429763354
10,0.00017135429623303436,2.8935414689028593e-5,0.0003211341210306071,7.55124010021696e-5,0.0002533047822204801
11,2.794407632300071e-5,-9.622330612469889e-5,0.00015187924862556767,-4.4404551539572995e-5,0.0001014652476047012
12,0.00026382666833737046,0.0001428208856533768,0.00037274970639576796,0.0001871884872672729,0.00033232746028079
13,6.104770783410616e-5,-7.631071923789456e-5,0.00017769657644284046,-2.552519914914235e-5,0.0001275374959454313
14,-8.016701602449361e-5,-0.00025017812087160167,8.582829094632429e-5,-0.0001833891089795506,2.0571686271176107e-5
15,-0.00013530208011653175,-0.00028147332139468893,2.861981941928624e-5,-0.0002300324100312968,-3.809706928393659e-5
16,9.528255548112892e-5,-7.190392272653234e-5,0.00025417371986530247,-7.100882264460839e-6,0.0001820551673871429
17,1.7555864656013483e-5,-0.00010718126509724181,0.00013391000162461152,-5.7025519323520104e-5,9.00923589568686e-5
18,5.721711598207202e-5,-6.854813404708911e-5,0.00020186237143325354,-1.4045178804624642e-5,0.0001357827837290734
19,-3.287412794308391e-5,-0.0001510594075280606,7.656793549042066e-5,-0.00010426010259398933,3.583684810338522e-5
20,0.00012463037205283264,-2.1621793681416774e-5,0.00026384896960719283,4.346903811826935e-5,0.0002118307046125323
21,-5.048532538949392e-5,-0.0001784919013868318,8.598538879307563e-5,-0.00013249377922514894,3.652313856845438e-5
22,-4.3537273605634975e-5,-0.0001781359230326507,0.00010324534283987886,-0.0001254006135822686,4.307944126959264e-5
23,-7.270398759047202e-5,-0.0002104161900667451,7.476626291881355e-5,-0.0001449933532370526,1.4639491594288124e-5
24,-7.128071656117703e-5,-0.00023889310428409216,6.65594032437177e-5,-0.0001724899979612549,1.766781605905454e-5
25,0.0001438230524866674,1.3432637459874752e-5,0.00026597908870481276,5.5267168485938984e-5,0.00021600842669754937
26,-0.00017889300993624864,-0.00036031956244273356,-1.618611994671685e-5,-0.0002765909533955001,-7.769425793390436e-5
27,-3.688527240137658e-6,-0.00016643853237419582,0.00013532978600195052,-0.000106633247948571,7.76617824846791e-5
28,-2.2556012898837342e-5,-0.00021005827389886716,0.00015649228565690608,-0.00013337643522243886,8.440718662840168e-5
29,1.4897309130120737e-6,-0.00015005451311016248,0.0001444738653430561,-8.632807617521726e-5,9.26541137077689e-5
30,6.127023840901753e-5,-7.223234065781829e-5,0.00017671004020913578,-2.8479364118414656e-5,0.0001328945912619035
31,-3.1835413353952726e-5,-0.00018048098252396419,9.985649414340534e-5,-0.00012252501027847115,4.572651990068744e-5
32,-5.916247427751819e-5,-0.0001810743206945701,7.881010297886899e-5,-0.00013378117183125495,1.3809124137691286e-5
33,-1.4363209564690223e-5,-0.0001356073375055182,0.00011847011776076458,-8.952448869496676e-5,6.724338841961668e-5
34,0.00011742295443465735,-6.0748141016705605e-5,0.0002807368609332417,3.027947137329665e-5,0.0002138558618439423
35,-8.869410942341803e-5,-0.00025540287999121364,6.442930594538037e-5,-0.00018178033989370355,-2.6573980250803547e-6
36,-0.00013344757342751378,-0.0003128854394933647,4.949104261492098e-5,-0.00024289070250907178,-3.0062238128139614e-5
