horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,6.639697020758264e-5,-6.471757910080782e-5,0.0002643392955387468,-1.1997674210757631e-5,0.000177721052551866
1,-0.000127871680513459,-0.00042430355011400606,0.0003183187795409686,-0.0003021359879329251,0.00011575508156232262
2,-3.8237355733131476e-5,-0.0002745424770939011,0.0003354819456460527,-0.00018862001322104158,0.00016619549571368622
3,-5.759713264692633e-5,-0.00029717177994398347,0.0002106783630080441,-0.0001960973464477637,9.261648550352315e-5
4,-0.00011190668244924642,-0.0003177028167443593,7.579780916260926e-5,-0.00022750352441408648,6.782023901909915e-6
5,8.219616027097868e-5,-0.0001587945265515463,0.0004234875333970321,-6.0243792035779165e-5,0.0002816735054976463
6,0.0002391236513078527,-1.791430324562214e-5,0.0006751926485705404,8.086138119044363e-5,0.0004938711925852836
7,-9.425607953083338e-6,-0.00025485954951198796,0.0002924553606908442,-0.00016651368351977338,0.00015548440721074007
8,-1.5618104463425606e-5,-0.00030493395783109283,0.0002955769680615915,-0.00019718915925954564,0.0001700425344874881
9,4.630638030297109e-5,-0.0002543732526764326,0.0003472771842814107,-0.00012955747621110574,0.00021947655138367615
10,-1.590888399881941e-5,-0.0002808498701076636,0.0002829948147583708,-0.00016463397503201495,0.00015870395609872702
11,-8.675623371170386e-5,-0.00024432492185839537,0.00011150879381753378,-0.0001776867125434456,3.768755438106588e-5
12,-4.3912695769931086e-5,-0.00025969039404025705,0.00015111759465521747,-0.0001675363178290067,8.987192255995774e-5
13,-0.0002537528892776447,-0.0005141409321558175,1.1659287638289182e-5,-0.0004155606321167878,-0.00010874434685916441
14,-0.0001056853575154148,-0.00031341223379803497,0.0001246161058625516,-0.00022051801986473755,1.5688948796671685e-5
15,-2.955904584827048e-5,-0.00029212924760557517,0.00026444797859603175,-0.00018945084607325434,0.00014309349135854164
16,-0.00014628099006270962,-0.00044873453584672984,7.665006143476241e-5,-0.0003123496432509258,-8.48505947185089e-6
17,-0.0001794323847374796,-0.0004558154729122912,5.5511195190902996e-5,-0.0003322768665138644,-4.1007621446338314e-5
18,-0.00029512827757989047,-0.000559740795383763,3.985685819274756e-5,-0.0004536309820127619,-9.859956367217385e-5
19,-0.00017300825998618302,-0.0005231254658198836,0.00017794197180045368,-0.0003776790037790219,2.320295013362656e-5
20,-5.955879175254038e-5,-0.000379389323403632,0.0003686415784127614,-0.0002577219119207088,0.00020513573889268253
21,6.335039505293657e-5,-0.0002616610546751024,0.00043515137729086494,-0.0001308435760979228,0.00026409381414961813
22,-0.00020240866313965176,-0.0005208778458368041,0.0001556465110811274,-0.0003979336272014231,3.552891585043244e-6
23,-3.313309207053048e-5,-0.00033944222209927335,0.00024062160927789338,-0.00020173946423222502,0.00013007812583931225
24,4.542619825779635e-5,-0.0003784073260082575,0.00033144260920989134,-0.0001653123913579954,0.00021841106585870806
25,-0.00016247364001979733,-0.000501526700661428,0.0001873627888625699,-0.0003774044127249878,2.4231556683809746e-5
26,6.864273632483751e-5,-0.0002829172861395637,0.000374433087742567,-0.00012334198282838488,0.00025218661862535185
27,-7.795903487140995e-5,-0.00042387888393844423,0.00027394906356321475,-0.0002698973931707967,0.0001633837624187537
28,-9.853801862497241e-5,-0.0005132825912200545,0.00029347315415622743,-0.00035455074601975224,0.00014689121903553706
29,-6.448807921415944e-5,-0.00047751956490898106,0.0003351418565871105,-0.0002948713619747628,0.00013698726853661328
30,-0.00022664545041051204,-0.0005606093417748338,5.0237005500515584e-5,-0.00039931295606780216,-4.434981943921015e-5
31,2.549865608803446e-6,-0.00027949612333943015,0.00029090368838246243,-0.00017357950761503438,0.00017833195391445957
32,0.00015116268140652386,-0.00023614755463926803,0.000694769951978348,-9.280278487949347e-5,0.00046134838259355004
33,0.0002258886670018105,-0.00014963503160628103,0.0006330676663434561,7.575410816969643e-8,0.0004754982295477311
34,7.77919110878236e-5,-0.0002497554680812317,0.00045510149236633604,-0.00011667070424154626,0.0002998727221369183
35,7.353301266182038e-5,-0.00017224322392329788,0.0003274121754403065,-8.272736038449516e-5,0.00021980226934545008
36,0.0001788711482561471,-0.00027270344541397334,0.0005486229101619169,-9.44913673874495e-5,0.0003895019879281153
