horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.00020055381510264967,-0.000506986116849408,7.761721632815351e-5,-0.000391048572193021,-3.154648245257347e-5
1,-0.00012435500900493846,-0.00036945661419388455,0.00014413657892821725,-0.00026605637246509433,2.8639950253949212e-5
2,-0.0001917638634910213,-0.0004999081060527463,9.179773338658062e-5,-0.00036910365766600094,-8.259523979156359e-6
3,6.216064049015936e-5,-0.00017354925520596427,0.0003163581605491112,-7.88257988989165e-5,0.0002075164304592696
4,-6.56285512825268e-5,-0.0003495579594108433,0.00023658415005157324,-0.00023786094897054093,0.000127316063419721
5,-0.00043766854765634215,-0.0007356082556062044,-0.00011898108946438338,-0.0006172277313209696,-0.00023364509021278198
6,-0.0007717578665066943,-0.0011374393298771586,-0.0003899647457766982,-0.000989054200745402,-0.0005229395438855187
7,-0.00014310218211508228,-0.0004331602062047398,0.00011762304934173948,-0.0003278155084310856,2.4075010784566737e-5
8,-0.00025096932807675687,-0.0005366443351175703,2.6828345478536574e-5,-0.00043049258590355493,-7.950845024207986e-5
9,-0.00014302148001576247,-0.0004682393640429505,0.00017159744184432944,-0.00032921978603322305,4.973733605424319e-5
10,-4.833615857878902e-5,-0.00042091168942343224,0.0002518979271907484,-0.00025759678842886486,0.00014194292935607074
11,-0.00014833744194912426,-0.0004351312384862447,0.00012624196687413344,-0.00032415475716548564,1.957347404424583e-5
12,-0.00039549681881140687,-0.0007415835417399056,-3.695006996525267e-5,-0.0006059432007319173,-0.0001901062058626315
13,-8.33156706089225e-5,-0.00042236641059042426,0.00020376429155764472,-0.0002891391315014832,8.83242154077793e-5
14,5.2512067084014065e-5,-0.0003057355062172268,0.00037290129077137364,-0.00017219068959062174,0.000244846970248823
15,-0.00023515027783381455,-0.0005501368674005757,9.250891628321563e-5,-0.00041304898332357844,-3.316313515990945e-5
16,-0.00020254060786941474,-0.0005682681133611371,0.00016196699367379902,-0.000439253625854691,3.726866579659903e-5
17,-0.000503208381401639,-0.0008827258130900933,-0.00012067015499943009,-0.0007349038022647809,-0.0002390704527906988
18,-0.0005680707705133876,-0.0009531141858242591,-0.00015563416901846798,-0.0008212112338781792,-0.0003130220237021282
19,-0.0001740919193022222,-0.0005213975768575874,0.00012422284349019154,-0.0003931400401624822,1.2547196373887055e-5
20,-0.000503488697923387,-0.0008579397091400748,-0.00021018920355026985,-0.0007226928715550749,-0.00033040531587524895
21,-3.4731358257937236e-5,-0.00046115932510867825,0.00027708407071165206,-0.0003048406378231562,0.00016030215370435672
22,-4.052511875927865e-5,-0.0004216503143256591,0.00029530778098176767,-0.00027950849686033194,0.00016188838588151381
23,-0.00021904362264401334,-0.0005936609620732338,0.00013568175579622963,-0.0004641303958009148,-6.945628569173201e-6
24,-9.35534566234926e-5,-0.0004684708265429373,0.0002631571073166389,-0.0003348250376272712,0.00012289936911724712
25,0.00018039607213603175,-0.0001889470527714665,0.0004826435651341056,-3.612104028666822e-5,0.00036943539881873584
26,-0.00021326697784669613,-0.000488736949258122,4.635822183252721e-5,-0.00039344366505566434,-5.144093931768023e-5
27,-0.00023465309045618026,-0.0005630737675930379,6.814903307446262e-5,-0.0004417734920399119,-6.124984446361498e-5
28,-0.0002322838172824041,-0.0006158462947514283,6.803583294748186e-5,-0.0004492026777066118,-4.233433005236046e-5
29,-0.00030616029914586545,-0.000674164349611755,8.309407405297537e-5,-0.0005506263276687932,-8.238338141478566e-5
30,-8.394091487515388e-5,-0.00040575331404746486,0.0002671367752911698,-0.00028724074839002754,0.00010709567082419577
31,-2.8078601819622438e-5,-0.00038965762089588756,0.00030193295293322135,-0.0002465303746915921,0.00015593787675079242
32,-0.00023532159194211678,-0.0006281552776033871,0.00013738291360391693,-0.00043345213756585245,-1.4409307300166545e-5
33,-0.00010011039703839708,-0.0004188965221914228,0.0002120736687213714,-0.000280173541108192,0.00010014761707972296
34,-0.000416538996509476,-0.0006968010537213714,-8.308037536437838e-5,-0.0005782425281558836,-0.0002113847172514382
35,0.00018189647119241941,-0.0001234431668073116,0.0005560332028957306,4.949239609646465e-6,0.0004179146870164659
36,2.9909928830894835e-5,-0.00033456576834523476,0.0003979629000816074,-0.00018357798505764947,0.00027585827052343463
