horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-7.647453939412407e-7,-0.00025360152280014004,0.000218033075185849,-0.0001615472304896663,0.00014102051667908775
1,-0.00016652127118496436,-0.000361720188963112,3.3215545312823556e-5,-0.0002883340302902958,-4.4870646673412094e-5
2,-0.00023807944828281523,-0.0004901632175557138,1.578569465810438e-5,-0.0003988430143875491,-9.704091864750527e-5
3,-0.0003482418580496219,-0.0005686798125180418,-0.00013441235059908296,-0.0004989782234605019,-0.00021985245237756074
4,-0.0002549492209268036,-0.0004489635536500169,-6.389968322277108e-5,-0.00038411582696906005,-0.00015241135932462377
5,-7.2211229213962e-5,-0.0002646992857730894,0.0001328650154760024,-0.00019579443566843745,4.27496486786857e-5
6,-0.000224126703447438,-0.0003922669201186496,-1.4056257377988417e-5,-0.0003290522847748267,-0.0001075724608229616
7,-0.00015827604584335431,-0.00034185500618382885,3.8065085328067985e-5,-0.00027595108812893495,-4.869506464956818e-5
8,3.751161513256918e-5,-0.0001549966189967146,0.00024238684724506675,-7.646527353269112e-5,0.00015720392697544336
9,0.00013823858778477883,-0.0001031164977398444,0.0003526884062820218,-9.171824133980715e-6,0.00026445033871238264
10,-7.667621448394467e-5,-0.0002892153003268469,0.00012972555628549274,-0.0002078674672035297,4.142853252856616e-5
11,-0.00030158145014794966,-0.0005350104396561539,-1.9694675239104056e-5,-0.0004535073659375597,-0.000150753400649413
12,-0.00044179707145440604,-0.0006768947628339455,-0.0002051932640951156,-0.0005801998186750489,-0.00029991435480238515
13,-0.00029811839041974525,-0.0005135939585057194,-4.404863787888403e-5,-0.00042958010818872934,-0.0001419654869705182
14,-0.00023047596847502615,-0.00044550915479047896,8.321601989407749e-6,-0.00035589100628397854,-8.618040374582043e-5
15,3.0604193748555875e-5,-0.0002002045107083934,0.0002238222465293961,-0.0001046866539252189,0.00013796500349145722
16,-0.0001037144776549557,-0.0003526868572928824,0.00014456768183516202,-0.00023624860783238354,5.068612042109009e-5
17,4.9440721347824634e-5,-0.00022736097809719812,0.0002700033351811596,-0.00011613927287005912,0.00019200440513655678
18,3.061907574681591e-6,-0.00020225618239320793,0.000220275830090752,-0.0001372828097128447,0.00014546909444540266
19,-0.00015050027522239945,-0.00037194228580007235,4.321034678558144e-5,-0.00027814493689198676,-3.5421702623529276e-5
20,0.00012131047354658309,-8.662594349683619e-5,0.00034808496853300566,-9.238037981087197e-6,0.00025007292608856423
21,5.51637177551516e-5,-0.00017740814137225594,0.00030734399780210235,-8.765636730272177e-5,0.0001943618782580194
22,-5.565299426433713e-5,-0.0003070192568825816,0.0001750421659374991,-0.0002090858020698049,7.920438019145737e-5
23,-0.00011098712536727811,-0.00032871232447873847,0.00010686395881011058,-0.00022972519439131924,2.435414632959474e-5
24,-0.00014624111920283082,-0.0003599312995684513,4.852458907251978e-5,-0.00026857515646919866,-2.0132052996889256e-5
25,-0.00019365754294499278,-0.00041682430239541946,3.541242876644931e-5,-0.0003398959040872168,-6.79195960678948e-5
26,-0.00021928171290087604,-0.00043485330937129715,-1.6360791851360645e-5,-0.00034054300899267364,-8.20387098981408e-5
27,-0.000107230704831546,-0.00032651006370779345,0.000121706586055478,-0.0002350692001503147,3.147067884749908e-5
28,2.21422564353101e-5,-0.0001791922066892116,0.0002313805228180896,-0.00011265328108325463,0.00014447472228600717
29,-0.00024889631745107527,-0.0004527025530287665,-3.284520353320674e-5,-0.0003709619477890614,-0.00013050163373374592
30,0.0001419549608775246,-6.111754152362075e-5,0.0003028821452829128,1.6777041669000978e-5,0.00024547680643360214
31,-7.981069388989922e-5,-0.00033609840587694973,0.00015123503613372627,-0.00021795878380463925,5.3509878016633146e-5
32,-0.00010810960314536063,-0.00033061307119255836,8.049034075120283e-5,-0.00023498044437744367,5.648955711466235e-6
33,-3.9186585161026426e-5,-0.0002822682753604528,0.0002206012191120664,-0.00019272923318730848,9.56583386628867e-5
34,0.00024003934559906976,1.8882116531674948e-5,0.0004696290171164937,0.00010090086151337232,0.0003686222358444442
35,-3.616375626638292e-5,-0.0002747347917380334,0.0001825412183672404,-0.0001902414765427663,0.00011241832987642424
36,4.7733561988273326e-5,-0.00017304448805757002,0.00024191653622599048,-9.276249688848994e-5,0.00017337432870045383
