horizon,coef_name,beta,se,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,shock_g1,-7.647453939412407e-7,0.00017567180538518144,-0.00025360152280014004,0.000218033075185849,-0.0001615472304896663,0.00014102051667908775
0,shock_g2,-2.33521606236947e-6,0.00011621841448873066,-0.00017850581885033522,0.00013676876575182857,-0.00010803769647938229,7.617085646131113e-5
0,shock_g4,-0.0001697766856918813,0.000230627159849087,-0.00045565041090514426,0.0001357423091837515,-0.0003403979128944755,2.299874071497724e-5
0,shock_g5,0.00017298028871416002,0.00011075352865359689,4.387093116412698e-5,0.000301475921395882,8.9100051297088e-5,0.0002607418691996154
0,shock_g6,0.00017500241773506293,0.00017367045842337338,-3.5677150494995254e-5,0.00039412073550986013,4.796613249679002e-5,0.0003179850892661282
0,shock_g8,-1.0409816674434225e-5,9.837636473907258e-5,-0.00011488984504641197,0.0001187373390427862,-7.653608420263766e-5,6.628217925007106e-5
0,shock_g9,-0.00021142187781522748,0.00011054795829859545,-0.00033777440492077225,-7.40897658287494e-5,-0.0002905987780888349,-0.00012786091662228872
0,shock_lag1,-5.1370536996601934e-5,5.77960156684022e-5,-0.00012972030289787583,1.7005625772456725e-5,-9.920564869417452e-5,-9.536579588548736e-6
0,ylag1,0.5783974256624728,0.038284147744314934,0.5424577182569507,0.6208108502945401,0.5572734341143812,0.6034588620653925
0,log_oil_lag1,9.110205857516418e-5,6.092299910777417e-5,2.135373080031772e-6,0.00018144797775129817,3.8893343054548976e-5,0.00014493224751838514
0,ffr_lag1,-1.5351644781106765e-5,2.729902011484643e-5,-5.124430265208519e-5,2.493528798281713e-5,-3.7251620598538575e-5,8.731574709210633e-6
0,cpi_lag1,6.854581655815509e-8,9.841661383807627e-7,-1.226722261482336e-6,1.4718872015180448e-6,-7.37167299378056e-7,8.05359869358134e-7
0,indpro_lag1,1.2823722220635829e-5,3.9571259672440815e-6,7.622247959505282e-6,1.7449168869741614e-5,9.386187451561087e-6,1.547945845350404e-5
0,t10y3m_lag1,3.4140988374312964e-5,4.339421865941219e-5,-2.399194131820876e-5,9.723297280274482e-5,-1.2109500914152268e-6,6.912871206667953e-5
0,age_mean,-6.941050001321359e-5,2.0633964115796723e-5,-9.218001743207828e-5,-4.521327798559243e-5,-8.267314698633233e-5,-5.3770856724156944e-5
0,female_share,-0.005059280552920378,0.0005751002921554489,-0.0056492203413618285,-0.0043391333891162455,-0.005442339229156508,-0.004588619452612437
1,shock_g1,-0.00016652127118496436,0.00016127292474799016,-0.000361720188963112,3.3215545312823556e-5,-0.0002883340302902958,-4.4870646673412094e-5
1,shock_g2,1.8844154560818047e-5,0.00010326478049370163,-0.000125419025824065,0.0001425315213217214,-7.160488700109143e-5,9.424329596826732e-5
1,shock_g4,-0.00021520435220636052,0.00029065105062182564,-0.0006308526831113226,0.00011105823339124256,-0.0004449134967105282,-2.3781591271498242e-5
1,shock_g5,0.00014445795534466234,0.00011040044213194382,-7.88626858645299e-6,0.0002901772068695123,5.261431708390599e-5,0.00023281520739802008
1,shock_g6,-0.00012754989153779896,0.0001544245720456286,-0.0003118199280866584,7.864448939984297e-5,-0.00024283607958378755,-1.7130936371183628e-5
1,shock_g8,9.256831120986381e-5,0.00012240127688301205,-6.528562950663718e-5,0.00025097039650960764,-7.067574049461983e-6,0.00017376346847118918
1,shock_g9,-0.00020318056109548875,0.00012787690327852134,-0.0003916660653139185,-5.900691745441578e-5,-0.0003096401786438277,-0.00010776392591026772
1,shock_lag1,-1.567337935863782e-5,6.863466036849202e-5,-0.00010380070637597627,7.503302510672968e-5,-6.421297485222402e-5,3.492722105920524e-5
1,ylag1,0.5559627511099556,0.04055469295723211,0.5202240063832233,0.6001864743211756,0.5332200430399305,0.5819116778757609
1,log_oil_lag1,0.00011787273898898074,6.895616293162439e-5,2.173015442209025e-5,0.00021946375677993747,6.208764715094803e-5,0.00017753922437185274
1,ffr_lag1,-4.21115326640342e-5,3.1140905112444754e-5,-8.18679993144124e-5,3.2942628076516506e-6,-6.625493833574071e-5,-1.6878471014603107e-5
1,cpi_lag1,6.7496856059088e-7,1.2349752256283712e-6,-9.416516351893943e-7,2.3208142550733154e-6,-2.816654814445369e-7,1.6731422196862634e-6
1,indpro_lag1,1.791130794747907e-5,4.8935995431516915e-6,1.1662874948696397e-5,2.3780280000605946e-5,1.3892113798362916e-5,2.105676187625834e-5
1,t10y3m_lag1,3.1940888007914444e-5,5.164692995851946e-5,-3.9762702747009026e-5,0.0001050515244480408,-1.3343328783511204e-5,7.381025712343584e-5
1,age_mean,-0.00017841741803831604,2.461790381434084e-5,-0.00020524768796461337,-0.00014748522576200042,-0.00019354550472090753,-0.00015913610919318066
1,female_share,-0.003524115621161976,0.0005214068764438301,-0.004055552812099394,-0.0029120578145161976,-0.0038766538142581118,-0.0030908602900678503
2,shock_g1,-0.00023807944828281523,0.0002129819644115307,-0.0004901632175557138,1.578569465810438e-5,-0.0003988430143875491,-9.704091864750527e-5
2,shock_g2,4.116978842872188e-6,0.00013135271442160616,-0.00018517363727362697,0.00016742329872978,-0.0001051116116800683,9.36549529738323e-5
2,shock_g4,-0.000256169583131978,0.0003148660425307831,-0.0006336664468969578,7.777560873161176e-5,-0.00050437913233973,-5.416345936688053e-5
2,shock_g5,0.00039933302326954914,0.00011773272251247296,0.0002564555646244277,0.0005250267115611058,0.0003156723549412329,0.00047601593533722417
2,shock_g6,-7.919160610035062e-5,0.00018400188999192268,-0.00032099453473738546,0.00014373201418163402,-0.00024011278919806205,7.097800740611305e-5
2,shock_g8,7.189141325382308e-5,0.0001244607571643612,-8.515517708615414e-5,0.00021151226354313438,-2.3994715222802994e-5,0.00016371593174087905
2,shock_g9,-0.00018347471397030295,9.9256507507676e-5,-0.0003051759566234653,-6.168696535560675e-5,-0.00025934615888424894,-0.00010200561884327404
2,shock_lag1,-4.696481994704251e-5,5.896844224985608e-5,-0.00013272191363242056,3.13748583764738e-5,-0.00010001629484911135,-3.056333257050305e-6
2,ylag1,0.5615779563157396,0.03826232763108402,0.5283326259296861,0.6036641872467803,0.540984741126828,0.5859309422831673
2,log_oil_lag1,7.94499874890504e-5,7.52371514520527e-5,-3.312000675635072e-5,0.00019255360016602038,1.2711022682779328e-5,0.00014636762970980546
2,ffr_lag1,-4.061072625127555e-5,3.615922446334679e-5,-8.888052216406463e-5,1.4340473499043246e-5,-7.23531182330291e-5,-1.022966207838588e-5
2,cpi_lag1,7.825158788060815e-7,1.3985699276829905e-6,-8.606761437581499e-7,2.8286953568011845e-6,-2.2578249423290457e-7,2.0492852225836967e-6
2,indpro_lag1,1.52652080189703e-5,5.381304390677079e-6,8.297868068477508e-6,2.1508283364833654e-5,1.042096934850874e-5,1.905967574364087e-5
2,t10y3m_lag1,3.324844167843044e-5,6.094394273544068e-5,-5.506540472247879e-5,0.0001250013915718745,-1.9962835277122164e-5,8.324832577920509e-5
