horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0002269385921911958,-0.000390442731556035,-4.26565211885491e-5,-0.0003256025951415563,-0.00011524809318841505
1,-0.00031678141949990847,-0.000564492853244256,-0.000138516649350926,-0.0004676303501241476,-0.00020539935621986574
2,-9.226424641282404e-6,-0.00024492920908411126,0.00022344384697583689,-0.00014542183387508225,0.00011768869172884596
3,-9.064478720971816e-5,-0.00029239199137418996,0.0001023967682847024,-0.0002092073349499078,3.4607411748621786e-5
4,-0.00021865353430732603,-0.0003920791317256829,-5.242010373443572e-5,-0.00032027947810369756,-0.0001153484672963497
5,-0.00033149198229482393,-0.0005364345233030936,-0.00014605807403455566,-0.00046101917030095206,-0.00021749431762234142
6,2.5952171675029364e-5,-0.00018074731828294417,0.0002196263120651188,-9.123441937111817e-5,0.00014906536367258525
7,7.24053903923426e-5,-0.00011783171618831805,0.0002770837220645272,-3.9668054251911015e-5,0.000191251593460164
8,-0.0003305173669048093,-0.0005453633758092987,-0.0001350515943222252,-0.00046060194685876527,-0.00022466933035088162
9,-0.00024965216250364726,-0.0004789051787986941,-7.8199772019146e-5,-0.000378713842480921,-0.0001572865767511036
10,-9.167038206598446e-5,-0.0002992110723129025,9.053701077051074e-5,-0.00022794126833913553,1.7071159312713493e-5
11,-8.881174135287827e-6,-0.0001624654129657486,0.00013205703023106002,-9.480287871421869e-5,7.90367253082946e-5
12,-0.0002424167899714593,-0.0004541325935037456,-2.0133990434452286e-5,-0.00037464475163233963,-0.00012161769495398906
13,-0.00017806453348343182,-0.0003762110703523792,1.5184528161623034e-5,-0.00029946772844211027,-5.201765015473768e-5
14,-0.00016709517444498802,-0.00036379054081022886,1.732358240965113e-5,-0.0002737596999245254,-4.928913019535689e-5
15,-0.0001859042546258184,-0.00040494986512153944,7.519083306224217e-6,-0.00031068424276877197,-5.746072938268433e-5
16,-0.0004392898312377869,-0.0006074819755865783,-0.0002972444213123584,-0.000529669536800206,-0.000355146916560957
17,3.280975214740583e-5,-0.0001368028016381266,0.0002184205972781686,-7.477727844270961e-5,0.00015406266019054611
18,-0.0001506380924248772,-0.00036242763456225915,5.998827799064932e-5,-0.00028481058472363554,-2.1716654418076986e-5
19,7.358433840872023e-5,-9.202345691993634e-5,0.0002704976431397273,-2.8478945079998914e-5,0.00018571078407837269
20,-0.0002910917919741351,-0.0005222919450715824,-0.00012843437281501556,-0.00041926203859151475,-0.00018033528207556983
21,-1.737711314685493e-5,-0.0001856416957923221,0.0001381731892916752,-0.00011495268392393905,7.626206541269454e-5
22,0.00020698538896300465,-1.3823986611076494e-5,0.0004215511444656142,8.753560615661632e-5,0.0003349231647541037
23,-0.00018131509030550535,-0.000390772877125026,3.8870843991648636e-5,-0.0002928572795335406,-3.793420159000277e-5
24,-0.00010446075885560944,-0.00030749149309513874,0.00011563140867511818,-0.00021600882631512213,2.225801016381688e-5
25,-0.0003162483047010527,-0.00047272507063359176,-0.00010657173515823951,-0.0004132221200956464,-0.00018683011007625199
26,-0.00012188694700565919,-0.00031193906735638263,5.2663329026739834e-5,-0.00022902374089008894,-1.9816097564179095e-5
27,-0.00018341222884361513,-0.00038191026458198074,2.782303815920448e-7,-0.0002980573427677448,-6.767026113517611e-5
28,-0.00022717044902176008,-0.0004494167535274877,-2.426564253382916e-5,-0.00034875216140559394,-0.00012083738016001013
29,7.949929205984536e-5,-0.00011347177083955149,0.0002851247166166671,-3.8952300448302375e-5,0.00022522110764522043
30,-0.0002491807867648259,-0.0004446238529660934,-5.361272830549781e-5,-0.0003684731153034681,-0.00013788127356287398
31,-0.0003403733814676865,-0.0005937531470285205,-0.00014229470083856413,-0.00047583358086634384,-0.00020333383262039425
32,0.0001271658498928437,-0.00012180504635101786,0.0003618527372625071,-1.558083616182905e-5,0.00026441554026733157
33,2.20168076099864e-5,-0.0001661522525708642,0.00020056224584486735,-8.657783796432039e-5,0.00012663747204121325
34,1.7843176346241295e-5,-0.00016124365907902797,0.00021281322369910341,-9.064234042468051e-5,0.00013169976406797893
35,-0.00011000211774770037,-0.0002998676720623452,0.0001137246517626113,-0.00022528380581161004,5.773807566835236e-6
36,1.426247837223772e-6,-0.0002280457345682494,0.00017130750410567134,-0.00013097741869822944,0.0001102099238235022
