horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-4.5777419029437544e-5,-0.0002691676540711165,0.00015667334756706527,-0.0001721181026491765,6.109094787322034e-5
1,4.4662577801822325e-5,-0.0002054814999748253,0.0003038167444248065,-9.221840035607627e-5,0.00018101773254029248
2,-2.5550194194954375e-5,-0.00026831098052997954,0.00017172415445205122,-0.00015474965817807517,9.424748726841257e-5
3,-6.603460736017838e-5,-0.00035413874315794343,0.00015603689640871854,-0.0002360181771960662,8.337179742708339e-5
4,-6.4640317036908e-5,-0.000384779310847325,0.00016706652845066572,-0.00026490726323459654,8.642417047611982e-5
5,-0.00014477424044062885,-0.0003880212492215324,0.00012370980037505324,-0.00030360034792014534,5.6650009943623285e-6
6,-0.0002916225841574767,-0.0005722638655188315,-6.470952152770563e-5,-0.0004646541061227016,-0.00014696741316903657
7,8.737510919516106e-5,-0.0002228019187043607,0.0003929404253823206,-9.761243415603843e-5,0.00026207554250808307
8,-0.00010539700632233902,-0.00035815289527848105,0.00018693066155721656,-0.0002581956539342893,5.0021408009590877e-5
9,1.632263351379158e-5,-0.00025207294081055055,0.0003210612125685951,-0.00014841330413376712,0.00020741883420253941
10,0.000364950230990064,0.0001150405266783399,0.0006208679488083428,0.00022800980565040605,0.0005163337796276961
11,0.00016885516895680575,-2.869267018912127e-5,0.0003368541234326053,4.213708089478922e-5,0.00026003714899413264
12,7.462985980952514e-5,-0.00016007857219791272,0.00034527606238416483,-7.348108696934278e-5,0.00024141436189485717
13,-0.0001086539612548332,-0.0003256429421739835,9.787524465648418e-5,-0.00024027735880943985,1.9520447507232798e-5
14,-0.000124743881461901,-0.00036477215137111093,0.0001574492085773818,-0.0002666530627603787,3.827335616641054e-5
15,0.00016578921144815785,-0.00028384213815675424,0.0004443694368454446,-0.00011778823329929995,0.0003374753733432815
16,4.702629151005605e-5,-0.00035455599884220534,0.00033320222791743677,-0.00019376203981758347,0.0002251664931499888
17,0.00013695498036231214,-0.00018972238180371158,0.00045771793470610707,-6.691792890744396e-5,0.0003385185024150682
18,7.2766185293486545e-6,-0.00025395443766846595,0.0003468218648024129,-0.00014809581016427488,0.00018649653547060424
19,-0.00010582990229477506,-0.0003895483639941327,0.00016418337827095783,-0.0002693165685907178,5.2618588011805944e-5
20,4.1797758858909427e-5,-0.0002767822242143966,0.00031584092894572244,-0.00012371570343606666,0.00019763531824031164
21,9.967198170117365e-6,-0.0005248278788986383,0.00034725923156519084,-0.000258700866961121,0.0002025720015892306
22,5.1737539319733474e-5,-0.0002901854724252685,0.00030196307173105803,-0.00015976765823211053,0.00020833918442162637
23,-0.00017138535961880574,-0.0005538740767271366,0.0001403358530448739,-0.00039485804092731025,2.1123203244845576e-5
24,-0.000137157631261994,-0.0005323368080961092,0.0002009013948158283,-0.0003741475704845279,7.361217832999644e-5
25,0.00023637049004945925,-8.975658643984295e-5,0.0005112843220421237,2.9266015649917628e-5,0.00040108399557926865
26,-5.4872525216828815e-5,-0.0004021634597105682,0.00036143796825043506,-0.0002667167302217609,0.00016753485250712644
27,8.061576811931209e-5,-0.00040744547862793404,0.0004982108145767698,-0.0001845293309648211,0.00032190141756989574
28,0.00035525767243732684,0.00014129177921892334,0.0006290867075956323,0.0002329483367376642,0.000515636502755115
29,0.00011325397676876974,-0.00020771909061335803,0.000345990177707397,-7.667915186870746e-5,0.00025808726408107715
30,-0.0001125041409552266,-0.00040153304102522546,0.00021919874562497088,-0.00030115601264484417,5.7456329195983475e-5
31,0.00010296984628595479,-0.00018832539215775731,0.0003587903389762355,-7.697718795914989e-5,0.0002770882500392675
32,0.00012065431503936542,-0.00020271730047731522,0.00040128176379409305,-4.771023849015601e-5,0.00029425339886914606
33,-0.00021804408874978102,-0.0005662197097502456,8.301945893654389e-5,-0.00041441357155972634,-5.435664782086453e-5
34,-7.515506672577334e-5,-0.0004065641226825446,0.0002713857971206905,-0.0002947322207939374,0.00013836331098564817
35,0.0001149196587141224,-0.00015615355162636004,0.0004020918188555662,-4.318439453427202e-5,0.0002726068582845852
36,0.00029335718834634433,-0.00013626358547704696,0.0006059822648852803,4.7721989845459477e-5,0.000453211465104981
