horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.07841558010604692,-0.052035704320491774,0.1859373100807989,0.0058073832716872,0.1429928669525687
1,0.16876446148304342,-0.04961057304659183,0.4784188266252292,0.03740411875478841,0.3606035476522979
2,-0.06029547043185326,-0.3395826090249856,0.24706508891570847,-0.21636776012139278,0.08033216894534739
3,0.11709394076069675,-0.10521300026223,0.4958868718208558,-0.004510352538426576,0.2824559755260162
4,0.03347026138678455,-0.08783448594138782,0.1833222766447809,-0.03011565868177707,0.11525806421572968
5,-0.10640154952498698,-0.43605142480861864,0.06279871551525862,-0.33067114983819207,-0.014792879743077109
6,0.06486506238023532,-0.07134456605734138,0.18882166371587816,-0.014231775214409312,0.13844120728481554
7,0.06774737636356226,-0.13194734523104976,0.18648955213418644,-0.02997502085573206,0.14083188506170752
8,0.10131211589165798,-0.0006820536594138726,0.23097016414407281,0.05370065232714605,0.177438914124662
9,0.24714671748589775,-0.09626586033820114,0.8493045208723983,0.055443255036880884,0.484781144937854
10,-0.10704895103471071,-0.24461383078761947,0.012438490080296863,-0.1890871335755705,-0.0389986221356725
11,-0.2571085154954165,-0.5415852446609037,-0.1342732926731275,-0.4672022668421769,-0.17559804426557774
12,-0.1396152777697016,-0.5240166543312289,0.1965193084590475,-0.34405224888598757,0.07570549516038555
13,0.0743410183855028,-0.293748671550215,0.41347996541832255,-0.12154434523006719,0.281866628541106
14,-0.10068758205557396,-0.34047760134885485,0.33102334295352154,-0.23387062774726514,0.17484423035380117
15,-0.1802559734317795,-0.37635419515428703,-0.04687635911835786,-0.2907136093597553,-0.11425151719815052
16,-0.16129678371217604,-0.5578850738545412,0.09954495029880284,-0.37299123699806364,-0.009626119912191533
17,0.11173456353709542,0.0288785876737796,0.21037102479935205,0.055807882613790605,0.16452276448240366
18,-0.06449067119315474,-0.17020718435927976,0.021082177307680777,-0.12973789158386453,-0.013483008955931346
19,0.09938867726998388,-0.3273034597590997,0.7991018205954182,-0.07179161961357244,0.4296492449750936
20,0.1438829477587463,-0.013562977778405455,0.4046274953154094,0.05513831532478748,0.30533077181449464
21,-0.03610896571260189,-0.165808598207064,0.10374852362772702,-0.10241989748654418,0.04582528429459454
22,-0.008696099182242133,-0.20401740783249075,0.17336301918368674,-0.10652342254864136,0.08542921333109234
23,0.07424333892276216,-0.1043230305419777,0.4885627979907473,-0.02750964034440355,0.3472296112817925
24,-0.05356909542517745,-0.25551682062290104,0.12599295572397562,-0.1774014847016982,0.04764413894154274
25,0.14462986224806543,-0.0029877146970026802,0.36966306557637596,0.05326735148286672,0.26579627655772337
26,0.01824859155566055,-0.6505758378002356,0.47417761523278396,-0.3649756894316146,0.2447219256954355
27,-0.02567499492903016,-0.19172858382388994,0.28989208342338685,-0.13343556828618472,0.17090858941624212
28,-0.06745565396662354,-0.18097147665252108,0.0021531780030910885,-0.12328309020173767,-0.024157203902798186
29,-0.08836738295776221,-0.2953411220447455,0.38974096594185365,-0.204831995799229,0.1898533972702185
30,0.27056232998125457,-0.15654423705057552,1.1713070951864126,0.07398197185080058,0.6241137554659989
31,-0.0311839574256534,-0.5245308474423442,0.2113305335584575,-0.314387523207961,0.08687778286117438
32,-0.015278424345524287,-0.5679441459701061,0.19562353527594564,-0.31152996670536504,0.09074068953190571
33,-0.12567114181722552,-0.2946883984277173,0.16674172939083245,-0.24505728056837972,0.062370000683106414
34,-0.13350327205025042,-0.29892304181625096,0.17365977878712474,-0.21642772277266234,0.018714738314762946
35,0.15869555934920065,0.05839173647052791,0.29978842042509257,0.09697389225684842,0.23322944493475825
36,0.1366908403724953,-0.24346822823446634,0.4859466551883629,-0.033947811725730054,0.336203468874617
