horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0031108861918083116,-0.036376031746970496,0.027678976367573268,-0.02347331549299408,0.016455962367336777
1,0.008837450661111326,-0.033153017597200046,0.043127179180849115,-0.017402769524428333,0.026572109289462926
2,-0.021813710140137724,-0.0660693737517796,0.018034671804548427,-0.05011484165490094,0.0026514882499487358
3,-0.024411426911886268,-0.07455205689897136,0.015773681665988415,-0.05131772774848799,0.0004462280378056231
4,0.007621884623832093,-0.034410725981619046,0.043170885321310165,-0.015883708607203045,0.030298733636549818
5,-0.0009998872382846078,-0.05031963135110961,0.0735630370260373,-0.031077123358308336,0.04034443680249068
6,-0.02067007777070452,-0.07313019246602044,0.036409021984274925,-0.050948499151567364,0.01570878777273906
7,0.024367381565685565,-0.019513497672337874,0.09879062345997411,-0.003505419835440983,0.0659627487127218
8,-0.0013728785621257625,-0.047477752775327196,0.03356605420633712,-0.02613876158120233,0.01886448011006082
9,0.011022874573114417,-0.04985440877568463,0.07113918741411136,-0.025778819303875135,0.0454867678842797
10,0.002614972958143215,-0.0468848373004529,0.061454304527603316,-0.02499208192569165,0.036089258349619666
11,-0.005525334927466262,-0.054752439103793106,0.05263698000978896,-0.03407793640317556,0.02789499124449412
12,-0.049958183353611886,-0.09145766772624325,-0.002776536007963376,-0.07667629278782448,-0.018992869188645737
13,-0.07976350278489264,-0.11924964862892751,-0.04607697298253157,-0.10049936365935,-0.0605924283220592
14,-0.06736395120645519,-0.09956826850483341,-0.018583652215162984,-0.08750878246415826,-0.03847293151823648
15,0.067281619033767,0.02813831354721484,0.11297025589314788,0.04390886281458904,0.09233735531565282
16,-0.02225804824430982,-0.07486410648796467,0.028462568595880196,-0.05207497283819373,0.00967474139840609
17,0.053453485220965526,0.013515002345959204,0.09759173597630594,0.02960136996803173,0.07892175851540781
18,-0.10096567509639047,-0.15864233521457927,-0.05744380050573134,-0.13662721700918182,-0.07496709773352528
19,0.0030587322274657105,-0.03833736181065679,0.0538533015629826,-0.021680919150923378,0.03155522949318242
20,-0.015306320768461237,-0.056823059036914925,0.02918071687783791,-0.039183525873185215,0.012742902784515883
21,0.05281830917898947,0.002595613015074237,0.1173090441112312,0.0205943928284346,0.08364261176158888
22,-0.029797630317710374,-0.07987470304832202,0.013264764073137692,-0.05960217854995862,-0.004964642524721518
23,-0.004833930832667398,-0.04998293460222632,0.033859482326327454,-0.03283670828884101,0.01546745341316778
24,-0.02124333945326659,-0.06512843019701076,0.018640813272124794,-0.046286346959450636,0.00491383928045919
25,-0.02414396357173037,-0.07962545381870195,0.03265078194628886,-0.057336370525009624,0.01058175133486726
26,-0.04986759866600728,-0.09879328122166886,0.0029232164377330783,-0.08060009621162852,-0.021432355682569005
27,-0.019261991310619443,-0.07745946105719326,0.03686841973781488,-0.057735343487177876,0.014881030690926427
28,-0.04717502360408977,-0.09395738288843208,-0.0045515366053580295,-0.07272126760393981,-0.01775412071851304
29,-0.034222158096455436,-0.11769228546294902,0.01742653010938039,-0.08242104021659055,-0.006641772755519849
30,-0.04157050318580755,-0.09361063582538273,0.006323077010856909,-0.07446273499434525,-0.013178648869275566
31,0.009756937476787356,-0.05708780592732657,0.05833896565114759,-0.029170266962516702,0.03707053619848366
32,0.06301328293503322,-0.001963826036800634,0.11571859797649711,0.026440320283376617,0.09709619672656045
33,-0.06700176910450265,-0.14087428195834678,-0.02189122764911696,-0.1094684215679077,-0.03999544114546678
34,-0.03279908142846723,-0.07554847871652068,0.01703395078170316,-0.05794617368376963,-0.0047150000499321006
35,-0.025275643335594775,-0.07561378035900596,0.027714178340756485,-0.056636443906230405,0.004436063512190117
36,0.008096964838244515,-0.062368166439596875,0.0932196874396374,-0.03355159796832439,0.058251296424609
