horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0009280257719524372,-0.013223992239885397,0.010954565735740348,-0.00859279932953953,0.006182497234462028
1,-0.010338941449143298,-0.020275680890314167,0.00012851266444333445,-0.016064243745889675,-0.004313318275027993
2,-0.014433946486167587,-0.024781585270719917,-0.005060150509461823,-0.021003128683941462,-0.0090328772683251
3,-0.016688835553987744,-0.027197659324326377,-0.0062347802814879845,-0.023301800501715535,-0.009971652893512786
4,-0.0046193362548055785,-0.014970675725002224,0.007310487084385145,-0.010725918350042432,0.003047892305404404
5,-0.019522584507643898,-0.03296280333439685,-0.0062368345995119,-0.027318656801320253,-0.011034684604219866
6,-0.015906047225677653,-0.02662404570242561,-0.005837654399704196,-0.021953767614951145,-0.00990148152150514
7,-0.009487977870813288,-0.02353479620022872,0.002348189957192822,-0.017903445840502834,-0.0022624549412901948
8,-0.0061325963438822765,-0.016485373375626583,0.004305700551214406,-0.012709665902870279,-5.4766536186066396e-5
9,-0.011427505036557253,-0.025332665006559132,0.0027444843823306083,-0.019545467685451588,-0.00240647623792278
10,-0.013440877041172243,-0.02417534394178504,0.0004314067908770501,-0.01990551182330294,-0.005200882189796521
11,0.018846692936171614,0.011074346494068913,0.027846436929884047,0.01371530002914584,0.024187729923097707
12,-0.005853036375685503,-0.017344309526034805,0.003915391664427832,-0.012283619997296715,0.000614285950833314
13,0.00013335735802774454,-0.010045134938815356,0.012311683787259857,-0.00617975056355396,0.007534305004657865
14,0.012969189206282157,-0.00014486199971847254,0.026855212450648504,0.005451183362899494,0.021172407878497404
15,0.011001105544465954,-0.0005340921107961707,0.02096070232287783,0.00404919818554004,0.016985596909863867
16,-0.0010008066093863393,-0.012747052978634198,0.01061677157761682,-0.008230353015287323,0.005376747819420956
17,-0.003211894729357212,-0.012802386676419886,0.008186334924362737,-0.008719027622903672,0.0037573440207585213
18,0.007772220839829845,-0.0030349930869440567,0.01871371380283578,0.00099635025971652,0.014605318416636048
19,0.011531179299669996,0.0006127592427749625,0.02130981108517368,0.004593689762992719,0.017922333768342225
20,0.00878760343997857,-0.0007709799146514672,0.019177459221400628,0.002942218241761844,0.015014107578382901
21,0.008109255753140709,-0.0018463933498797155,0.018844867831527,0.0017045923137250698,0.014483060095156307
22,-0.0014643716656694557,-0.015297781557426816,0.013154125046471326,-0.009290658068440816,0.007126086993299642
23,-0.01621435257006866,-0.029005804326477855,-0.00603410098598175,-0.024402892919723328,-0.010125078948952593
24,-0.009623242655154095,-0.023363599176858704,0.0075687627159449974,-0.017642569708721034,-0.00035817618588981914
25,-0.009058130510544054,-0.02214746904825149,0.0024633157578045333,-0.01728885753294662,-0.0023094006859543303
26,-0.005666944444916437,-0.017348752054412983,0.003832797127772748,-0.012680016182022132,-0.00014680114852793844
27,-0.0066125891860584545,-0.020548796603814215,0.005593080094556305,-0.014325589051845423,0.000958255740774302
28,0.003998570999597973,-0.005830356642428497,0.013483146246910521,-0.0018385994789687507,0.009442585563093216
29,0.010055697445830977,-0.004390633459020913,0.026603822905327437,0.0014855394346234112,0.018988070986074863
30,0.004037307743347121,-0.00930013601385627,0.016476329354210003,-0.004498021803212898,0.010721947365476832
31,0.0019245979792841378,-0.013785915012010761,0.017553002273444633,-0.007760967878046983,0.010546692698515917
32,0.0013882381799237443,-0.00878782086228652,0.010658012549321859,-0.0051823454442306086,0.007302876575188128
33,-0.0019441429091053273,-0.014232721965101164,0.009010805858944343,-0.008604011608691255,0.005189070787332523
34,-0.01086354426036701,-0.022637779778779003,0.0037189191372789775,-0.01782175823912919,-0.0009109862048644179
35,-0.008022329658360035,-0.019028271344473602,0.0024495333804643044,-0.015238427489933332,-0.0014554057448972002
36,-0.011667809549461615,-0.024780022612738532,-0.0005593771328941087,-0.021018860862817186,-0.004601622757891622
