horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.00412139437048633,-0.005415014696314638,0.01512570759220035,-0.002020629775534486,0.010567022805509276
1,-0.00917489758996262,-0.020070372709412213,0.0043330124394630725,-0.015674218430601086,-0.001633081163432722
2,0.002315887715834935,-0.00747089575872982,0.012822100675814968,-0.003697346070679414,0.007747322921496311
3,0.0007899283968086811,-0.010913104249748066,0.01181695934944848,-0.005721794814034497,0.007430896685278981
4,-0.002612574623641251,-0.01676466423684804,0.010709060755224643,-0.010661973887369012,0.004446242039791261
5,-0.01428720365050246,-0.0237614819651744,-0.005822993931495978,-0.020172591922758727,-0.00934395308437053
6,0.004550453900075169,-0.007081294536399159,0.017258349380581097,-0.0023627275401415125,0.011877860758771286
7,-0.008767401965562065,-0.023440071915147728,0.0034200151577457715,-0.01755593617732676,-0.0013073625524094006
8,-0.00040010255016381517,-0.008802641790225036,0.009184796443406822,-0.005834748716071888,0.005351346858932561
9,-0.013874320606103425,-0.02367016216443729,-0.003766679411982511,-0.019312563305480767,-0.007333917588054114
10,0.007759460905837871,-0.002494300935713756,0.0173094886061934,0.0016336492606914632,0.013525859513587306
11,0.0010330214084291458,-0.008745587529690579,0.013038531428346788,-0.004830663139616225,0.008193824138687706
12,0.010539121976921844,-0.0009194081757762339,0.024306786644068715,0.004067498814160424,0.019054523238756435
13,-0.008180078141053296,-0.022637484160410077,0.004051267856270689,-0.01559602175244371,7.475269956822017e-5
14,-0.000766835560020059,-0.01461527054892394,0.00900060721042088,-0.009438580397816811,0.005005669682956638
15,0.003594707481699819,-0.007004065353632841,0.015582001582554648,-0.002790068093253166,0.010978418609365666
16,0.004908821142331877,-0.005896949043084424,0.01494064733679664,-0.0007306364431721385,0.011220007070884035
17,-0.00646738412683301,-0.019073047984857195,0.005170347126998418,-0.013904489800536022,0.00048677650152507707
18,-0.01052592822873527,-0.032944834281644554,0.003947717964949568,-0.022657825815831097,-0.00204541000940011
19,-0.00023792283391908692,-0.01109497336361323,0.011356767012268567,-0.0065624758631863105,0.006093022123009716
20,-0.004361116568994962,-0.012980138847315416,0.006899973003876941,-0.009321668902072186,0.0018963719099155986
21,0.005945607668013629,-0.005287845036240742,0.01892649173067593,-0.0013119148005280934,0.013126126877837638
22,-0.0007890849851841059,-0.011445050655359584,0.00959238620312697,-0.007263096777079256,0.005572336635938052
23,0.009626452575957024,-0.005411920016278516,0.026898794797917236,-0.00030467392514261366,0.02015282497937169
24,0.028768283536480626,0.01959461985131593,0.037994467916688444,0.023465213774983583,0.034239327215251886
25,0.012916509346035662,-0.002580096307796263,0.02724447397856012,0.0033148682176237544,0.021410316668656088
26,-0.0031027088648316226,-0.021160532873344406,0.009426338620809624,-0.01310440824746231,0.003922224301391188
27,7.32715715121499e-5,-0.01087561267905926,0.010531640179980869,-0.006069923491048505,0.007051167158219223
28,-0.020764695582394566,-0.03304610816065022,-0.009683504436051843,-0.027607633713431688,-0.014176778724600457
29,-0.005004016824045312,-0.01840009756233743,0.006056758777050295,-0.013018110991964742,0.0015801585574675035
30,-4.662049224062677e-6,-0.011839692365560607,0.011974119752196147,-0.0070788487183675525,0.0068993790743154485
31,0.018875018812340893,0.007745846880743852,0.03262609968491344,0.011673143452303657,0.027314006795064162
32,-0.018065010277700147,-0.029569202419980997,-0.006221702555861899,-0.024877904957741975,-0.010456292678678186
33,0.027073194876924996,0.015411858693839896,0.038763732610940675,0.019508363202284808,0.03363078847656482
34,-0.007762300895787711,-0.01823568689924433,0.0022080747576358178,-0.01401797097420978,-0.0022662634431770447
35,0.005893989238846269,-0.00866013710844684,0.01812022176908675,-0.0022586000440635657,0.013618066262152699
36,0.010325006894225204,-0.0026869578906091717,0.02358203101039153,0.003224047907395255,0.01794098509163377
