horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.008254203239727215,-0.0016590268684134497,0.016662471099265774,0.0024158624975811876,0.012823313858782114
1,-0.0018016701848982196,-0.010099882555352557,0.00621055203543012,-0.006927351471567722,0.002817463055147825
2,0.004211043019067056,-0.004334987759825567,0.012810526053856545,-0.0011798722806965842,0.00919663961942739
3,-6.545182077098939e-5,-0.007952367956597955,0.006804503110864962,-0.004905804070397434,0.0038465075368012396
4,0.002424087884427522,-0.007103999899819761,0.01094440136787482,-0.0030559597604960884,0.007655471662403336
5,-0.005381505901184726,-0.013035398328793787,0.002354039387329588,-0.010265980462101587,-4.3676233635567795e-5
6,-0.009769242571796278,-0.018851510623269306,-0.0005189385009461474,-0.015665618510614963,-0.005324859364455373
7,-0.006286425229341602,-0.0150991105544853,0.0018309155493621753,-0.011477530766686148,-0.0013464775124795289
8,0.001476676039899366,-0.005546848729276918,0.010728786183783007,-0.0031952767602482176,0.006694992556474355
9,0.004534823694227318,-0.0034225727588743943,0.013937033727251264,-0.00015272861423748507,0.010005352651237753
10,-0.00857962180042602,-0.017089005630778274,-0.0006720592462842543,-0.013160594659176298,-0.0037163648459144294
11,-0.0025331456205626313,-0.010526712202347679,0.004875122237059785,-0.00770152713559287,0.0015326538619379743
12,-0.009724914141138127,-0.017077059450604618,-0.0026701268372559686,-0.014155076657591296,-0.005609371169236471
13,-0.009460775845788978,-0.01681829000901174,-0.0016649618217031512,-0.01387950544884957,-0.0043615510497043335
14,0.008702237598080937,-0.0008581946589688583,0.019014060443364508,0.0028177514922139244,0.015071121777388799
15,-0.0018461898456746547,-0.01034332973810959,0.007296401033183877,-0.0073684725283207735,0.003797245968500443
16,-0.0042678120256674865,-0.013191404764980059,0.003951551439941664,-0.009178815662090141,0.0004338379176674874
17,-0.006484036115560551,-0.015439230380176678,0.0033119553062367323,-0.012197113825781116,-0.0009242385043499099
18,0.00015525419039474453,-0.006591050675287627,0.006828103302840549,-0.003684999109302484,0.004070631223748686
19,-0.0029420474849478104,-0.012700710923997386,0.0055214598875406255,-0.008500320946102036,0.0025316672445200848
20,0.0024011414170564877,-0.0056211521911973955,0.01047000494395637,-0.0026524722922751692,0.007204571446782588
21,-0.004283592764409854,-0.011777529944039966,0.0037003368408609245,-0.00908468155189784,0.0005965429365519109
22,-0.012374945968293286,-0.02051103809184207,-0.004894668792843766,-0.01703608561020542,-0.007973339475096264
23,-0.00856119436159303,-0.016974862616014372,-0.0016362699003835265,-0.013965408838455744,-0.004340639041980248
24,-0.001810075396070746,-0.008941756039815401,0.00560491718924666,-0.00586583935779487,0.0026760340383271772
25,-0.006640148713073742,-0.013552356364868881,0.0007832620834587372,-0.010789682740670154,-0.002473235425188388
26,-0.006795357089686389,-0.014137279095238863,0.0014486148085911012,-0.010775984503495031,-0.0018629052363344578
27,-0.002476757087076303,-0.009719998422426216,0.005008332496170032,-0.0066703656868969145,0.002099376558333794
28,-0.00122519697579558,-0.010716349250059506,0.00681195176216367,-0.00678901323945307,0.003944619128906319
29,-0.011315716410453813,-0.019319149030328327,-0.003637261051484584,-0.016345840221455837,-0.0063832026201012795
30,-0.0028534258768523925,-0.01100391265011656,0.0054152657749111256,-0.007353112260206703,0.0020355919227060476
31,-0.016091234530240854,-0.025962346574884748,-0.0061387275300044085,-0.021695840879100616,-0.011027644360389038
32,-0.0008863670754117719,-0.008491965093753459,0.006875730394269942,-0.0050746028477701,0.003935743483932936
33,-0.012266929882527713,-0.020377705968446007,-0.0045440983066307875,-0.016903212143187914,-0.007612432479927207
34,0.014188494665081623,0.004842741485431255,0.022497340939584966,0.008255921652433322,0.019286853544784346
35,0.0017979482182432379,-0.004868004613515997,0.009331711542155327,-0.0019876031401107586,0.00675502281494879
36,0.005932804859889325,-0.0021841547024424495,0.015569153384513746,0.0008011552020650327,0.010848560079196674
