horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.004999659058357864,-0.00041903639887900124,0.01035487928416258,0.0018915228030398795,0.008038010555830451
1,-0.005941495615225099,-0.011918917439498534,-0.000611899744682255,-0.009222313475292412,-0.0029600013218882507
2,-0.004070354753489517,-0.0090740341495587,0.0006516046285101286,-0.006726396178299994,-0.0013754932766154942
3,2.923216150880114e-5,-0.005137295430746265,0.0056271636169850725,-0.002951651594456467,0.003388238065501307
4,-0.001395287555135411,-0.005897334203961034,0.0034376040707480415,-0.004114046674550277,0.0014727333015829938
5,-0.0025725951395010245,-0.007648220089755615,0.0028805303162155933,-0.0055402039319941455,0.0006935897029764801
6,-0.004238562807703027,-0.009384199678714272,0.0011732582311203537,-0.007582488299322152,-0.0011445608196072963
7,-0.002085754566262172,-0.0071759008893997715,0.003959105348636107,-0.005322830780050123,0.00145737525779243
8,-0.0016131554456489782,-0.006883039965615908,0.004271955643559198,-0.005389281372687877,0.001774414731399594
9,-0.0016518976228391445,-0.0068128341475265815,0.004324890900907693,-0.004607794528963083,0.0016828241681618149
10,-0.003737324896976767,-0.008391191182307625,0.0008841467267768949,-0.006619149920768123,-0.0009674358234733316
11,0.001318878589730765,-0.002545707399116348,0.005625780213779917,-0.0010696573067461215,0.0037071410333377255
12,-3.5000353743229726e-5,-0.005048861911107634,0.005394135095571904,-0.003117234343152115,0.003016894539341458
13,-0.0050749671160867735,-0.008866593663315086,-0.0009150854736625419,-0.007556827487254664,-0.0025190473172627256
14,-0.008470581579668492,-0.013296717356612694,-0.0038608045900916637,-0.011144277150433573,-0.005646957179547949
15,-0.0016381490395049002,-0.007426672593915767,0.0033339420934846396,-0.0048593317576025,0.0013333342692170072
16,-0.004142979237324186,-0.010795475919353866,0.0014579127492425807,-0.008370288214101062,-0.0008404453997830573
17,-0.00342298891674485,-0.008550601484670056,0.0011866038773061184,-0.006399067735171045,-0.0007762213121396927
18,-0.005441951292194038,-0.009989495815835043,-0.0012838839803874522,-0.008002208479964468,-0.002692714757416255
19,-0.004806975002070555,-0.01016121491932796,0.0008962475164022701,-0.008280887970178945,-0.0016647220388797514
20,-0.006059417977375164,-0.010526032573741774,-0.0013849114239275519,-0.008935918695925377,-0.003029615725532841
21,-0.007879920411960487,-0.012745716558902973,-0.002597012771147108,-0.011046859389008212,-0.004621314298384705
22,-0.004618691141320227,-0.010349539325678104,0.0013753105557380513,-0.007728668784302464,-0.0012895303841457882
23,-0.007758302132766417,-0.012520898753804549,-0.002821969942571987,-0.010684682004615753,-0.00474396719391639
24,-0.005748255337872206,-0.010375818551130893,-0.0007147060418453508,-0.00896783654594447,-0.0025660995555683045
25,-0.007518035754434701,-0.012409481316893857,-0.002860088760494572,-0.010238449769449456,-0.004568621882970358
26,-0.00821993624600026,-0.01211678103218283,-0.0032868593723855396,-0.010800062487996103,-0.0053759066955666335
27,-0.007387375053091161,-0.012811914648655404,-0.0016164144999144536,-0.010667850320117855,-0.004201909277357195
28,-0.0026237722546489195,-0.007751074331028849,0.0027621357522142572,-0.005957560682157029,0.0009180213799663377
29,-0.00482047396093199,-0.010434134311436642,0.0002759389840415877,-0.008251449659277233,-0.0018363464525221018
30,-0.006234890156229675,-0.012027536558522341,-0.000747621840747041,-0.009823125225676119,-0.0030287962234926986
31,-0.006079677557329871,-0.011322348743665686,-0.0006140228610318947,-0.009150907566938107,-0.0030774783248801287
32,-0.006356118119333004,-0.011921194443949745,-0.0005925436856701015,-0.00973800538349055,-0.003056513713560935
33,-0.0007127327851327657,-0.006364008644902444,0.0051892771455544365,-0.0041364534829825715,0.0024209363156011167
34,-0.004954045656229391,-0.010203803289814089,-0.0003823970748934504,-0.008261306737332176,-0.002079402414665997
35,-0.008869320034035184,-0.014557083044371604,-0.004077071099961434,-0.012051083648828094,-0.00570484990140488
36,-0.007432360010879504,-0.011539655839924313,-0.003024346293697803,-0.010110682369675762,-0.004845389857964063
