horizon,coef_name,beta,se,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,shock_g1,0.0026274485293286717,0.0011680511984828322,0.001220280697523888,0.004087553043223094,0.0017498031300351774,0.0034935101601208567
0,shock_g4,0.0009766039020436116,0.0007685986040770223,-6.921634591707166e-5,0.0021161649472831254,0.0003134350624027615,0.0016056537214163835
0,shock_g5,0.0019237237453677552,0.0011319756437628468,0.0004481955463147551,0.003418779382803318,0.0010131150100381498,0.002814609797514501
0,shock_g8,-0.00485377492986832,0.0032572966489242687,-0.009199121551765601,-0.0009154336232309367,-0.007336324101533006,-0.002432512989828078
0,shock_g9,0.00063563956801679,0.001863110390617952,-0.0015155638143596703,0.0037843866702458534,-0.0007616875757666963,0.0025694548345201003
0,shock_lag1,-0.0010747052146931639,0.0007997192385131174,-0.0023298582539457774,-0.00019800352393609067,-0.001846890188858985,-0.0005048540056424464
0,ylag1,0.49250813981920505,0.029256764302593854,0.46159704829237586,0.5354681142770614,0.4799408521742148,0.521708015703297
0,log_oil_lag1,0.005262586313275098,0.001466202110192256,0.003264272393251347,0.006949260000307676,0.00395782332592759,0.006189922093545372
0,ffr_lag1,-0.002156455810108416,0.000685420396414313,-0.0031182619515690733,-0.0011621802738235032,-0.0027387644215504914,-0.0015607820347866902
0,cpi_lag1,-4.452652646624682e-5,3.2290213866307656e-5,-8.455374136084174e-5,-2.3878818033620623e-6,-7.103703309866026e-5,-1.9791182417802462e-5
0,indpro_lag1,-0.00048163574318865537,7.744383922091369e-5,-0.0005904297572366531,-0.00037369236439322334,-0.0005431183905679452,-0.0004084588679187682
0,t10y3m_lag1,0.0001160686936436435,0.001056692794198103,-0.0014480312034715992,0.0016797098943327972,-0.0008498615780609881,0.0010091215791701107
0,age_mean,-6.089474725898533e-5,0.0002060275530650528,-0.0003186484751596974,0.0002299856861938311,-0.00021749476841614903,0.00010860141750402861
0,female_share,-0.0017886044192167345,0.00535183660608985,-0.008060521926762546,0.005105902820888648,-0.006022357245074211,0.002679989386495594
1,shock_g1,0.0019994920277104315,0.001396278268114901,0.0003419112580577586,0.004235105327603407,0.0010159479528495555,0.00326373659556855
1,shock_g4,-0.0012632787026570307,0.0008554431697457078,-0.0026128881686710726,-0.0002888651337184489,-0.002052141354501496,-0.0006818362867578497
1,shock_g5,0.0007723550605532381,0.001961085885262816,-0.0025811733757631536,0.002673664737490327,-0.0011694892001043377,0.0021033778166417894
1,shock_g8,-0.004939806466315958,0.003036093722412142,-0.008396160034943156,-0.000958582749351118,-0.006983247058106122,-0.0028575299166908436
1,shock_g9,0.00015883965879482924,0.0014994030375184123,-0.0017180893300742747,0.002097087416664212,-0.0010444040714232027,0.0013049469873766643
1,shock_lag1,-0.0023871592049644684,0.0008158304996582733,-0.0037997748147839266,-0.0015499264927160378,-0.003298501832848533,-0.0018380600988852176
1,ylag1,0.3280935618771888,0.037786330996907036,0.2886471653623811,0.38828539284309344,0.3103522307430131,0.36188524826113444
1,log_oil_lag1,0.007544574612622387,0.001975096609147679,0.005082916365053421,0.010032199464978818,0.005981137442748445,0.008866354535311578
1,ffr_lag1,-0.003303782681007092,0.0009411820872778377,-0.004808014703854925,-0.002064533321757071,-0.0041587729717427364,-0.0024907814955496435
1,cpi_lag1,-7.207387751208762e-5,4.6629064296347465e-5,-0.0001419296992164391,-7.30505373240489e-6,-0.00011050946623227369,-3.371395291154995e-5
1,indpro_lag1,-0.0006943867389142231,0.00011371606492074203,-0.0008654053036453384,-0.0005458661415105272,-0.0007891470538739923,-0.0005997978525723319
1,t10y3m_lag1,-0.0007855045679188823,0.001463764212977453,-0.003120605296130037,0.0011700765485003492,-0.002188182739548077,0.0003894266509112509
1,age_mean,-5.4116895034161625e-6,0.0002594869539970553,-0.0003022749826858611,0.00033407786452236196,-0.00018089878204731886,0.0001945875681393197
1,female_share,-0.00757957590365868,0.006393717439114913,-0.01558040479626448,2.0864757629052155e-5,-0.012723162659310356,-0.0033180722158942548
2,shock_g1,0.0009174632942066008,0.001451508181397651,-0.0009595988160111828,0.002710070383952977,-0.00018002020468258525,0.002028635654095279
2,shock_g4,-0.00018077544189656544,0.0008201596301253425,-0.0013491913230347131,0.0008923958300745316,-0.0008052763722220122,0.00043431234943382515
2,shock_g5,-0.0006535713547344698,0.001394303107067117,-0.0025605189298377583,0.00125648587529455,-0.0017892611746957823,0.0005160182027883541
2,shock_g8,-0.007932351449394118,0.0032254416559895725,-0.012372903371506969,-0.004113505187044579,-0.010647256537393568,-0.005647179323056591
2,shock_g9,-0.0025280273813537476,0.0018267513950913548,-0.005399972317182146,-0.00029929549420090566,-0.004476606438342594,-0.0011903322771948611
2,shock_lag1,-0.0013397300873311758,0.0007241572263212226,-0.00230309512544292,-0.0002538726667348447,-0.0019609012691274683,-0.0006699081752235682
2,ylag1,0.19695620922396084,0.04039152889710558,0.15816574040902354,0.2516485558554155,0.17595637133527797,0.23436712190790504
2,log_oil_lag1,0.010025587687118653,0.002357124063512309,0.006978126970981776,0.012734499279187225,0.008172553197973316,0.011573618884854498
2,ffr_lag1,-0.003854773741346454,0.0011056513317852976,-0.0056769539332197465,-0.0023895834469829617,-0.004875280630314353,-0.00294738438935882
2,cpi_lag1,-0.00010667076943399729,5.385913188327427e-5,-0.00018327242744796556,-3.524359560501565e-5,-0.00015199294379689805,-6.19294640525381e-5
2,indpro_lag1,-0.0008187752992407027,0.0001444609361686585,-0.0010169844592314596,-0.0006395060389994796,-0.0009244123183039782,-0.000701193124524606
2,t10y3m_lag1,-0.0010338930903192056,0.0017338796921983327,-0.003865011844638353,0.0010533992473865112,-0.0027750147544385135,0.0003330224365488334
2,age_mean,0.00011909673563433796,0.00023734825383271816,-0.0001684302504697733,0.0004299589635695426,-5.663850695320874e-5,0.0003000210132011943
2,female_share,-0.0002062704642887303,0.0059088504575082,-0.007245365046698837,0.006806073058631507,-0.005103390903881981,0.0041021784594042
3,shock_g1,0.00048526620666368273,0.0013654462133862375,-0.0014029543470428878,0.0022385345220768006,-0.0006438707021921195,0.0014985199109653715
3,shock_g4,0.0018392586996284768,0.0009257896887710847,0.000649071329057786,0.00299574694967732,0.0010846775124139115,0.002507180498577278
3,shock_g5,0.0008328914460143082,0.0011617982312272976,-0.0005224036361246811,0.0025657534805538945,-1.289138665564165e-5,0.0019353777125471717
3,shock_g8,0.0006847703677653679,0.003649378688805606,-0.004240436168491944,0.005588594058012382,-0.002304204932661621,0.0036788244305415
3,shock_g9,0.00021859778993708347,0.001444971182989106,-0.0016826720760458253,0.002348858493622148,-0.0009268684320831052,0.001549947389427367
3,shock_lag1,-4.520297961375082e-5,0.0008341508874373625,-0.0013071360915037423,0.0009975910813923795,-0.0008134716531406085,0.0005721171571496394
3,ylag1,0.1493553824226128,0.047648771420226416,0.09329038578252213,0.20695519123502643,0.11951792360449107,0.1866110837303441
3,log_oil_lag1,0.011191133418104056,0.0023584873930298737,0.008379785172340549,0.01395760150767801,0.00946892651116891,0.012774265231914987
3,ffr_lag1,-0.0034743913169568716,0.0011128054528039934,-0.005513872047661333,-0.0020158032433048095,-0.004512290174445159,-0.0025786149361851146
