outcome,industry,occupation,horizon,beta,ci_lo90,ci_hi90,sig90
by_occupation,hours,Farming/forestry/construction,0,-0.002406139889874209,-0.006962036507138059,0.0018371524267519245,false
by_occupation,hours,Farming/forestry/construction,0,-0.0001391965917458386,-0.0021384972061766743,0.0018099519232441382,false
by_occupation,hours,Farming/forestry/construction,0,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,0,-0.004342133814874648,-0.008544358233645702,-0.0014588739191402265,true
by_occupation,hours,Farming/forestry/construction,1,0.00046246987949017716,-0.004280098925422902,0.004284576496925528,false
by_occupation,hours,Farming/forestry/construction,1,-0.00042795877631177245,-0.002609186430918578,0.0015234525252872026,false
by_occupation,hours,Farming/forestry/construction,1,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,1,-0.0025727068169949315,-0.006686851502514923,0.0011055174463542646,false
by_occupation,hours,Farming/forestry/construction,2,-0.001782305677734575,-0.005329993447110673,0.0022246001975442355,false
by_occupation,hours,Farming/forestry/construction,2,-0.0004288255205435782,-0.002147173896951037,0.001344733395506564,false
by_occupation,hours,Farming/forestry/construction,2,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,2,-0.0018824609131634779,-0.005229019747958865,0.0016618254358743319,false
by_occupation,hours,Farming/forestry/construction,3,-0.0011026770884090484,-0.005973698144763544,0.003527744758867684,false
by_occupation,hours,Farming/forestry/construction,3,-0.0035077709537882874,-0.006160329376958953,-0.0016376608701075682,true
by_occupation,hours,Farming/forestry/construction,3,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,3,-0.007678200426269591,-0.010981211387662133,-0.004836318396418762,true
by_occupation,hours,Farming/forestry/construction,4,0.0020269381163782177,-0.0017292759553427669,0.005622182197807978,false
by_occupation,hours,Farming/forestry/construction,4,-0.0019055569096723295,-0.0050361459300637046,0.0002447032972977025,false
by_occupation,hours,Farming/forestry/construction,4,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,4,0.0004897964295079176,-0.0031871223417738403,0.0036167991910587183,false
by_occupation,hours,Farming/forestry/construction,5,-0.00096423136981463,-0.0058719320024486765,0.004608363837026948,false
by_occupation,hours,Farming/forestry/construction,5,-0.0008518067390313551,-0.005104494289361703,0.001401552362417129,false
by_occupation,hours,Farming/forestry/construction,5,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,5,-0.003019343422071001,-0.007067515641491927,0.0001952976555251759,false
by_occupation,hours,Farming/forestry/construction,6,0.001172717459847127,-0.002828781454642883,0.006151142030575677,false
by_occupation,hours,Farming/forestry/construction,6,-0.001771050815132879,-0.0051723880334745755,0.00014052059116119193,false
by_occupation,hours,Farming/forestry/construction,6,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,6,-0.004029692667549687,-0.00735587378180216,-0.0007935836609321216,true
by_occupation,hours,Farming/forestry/construction,7,-0.003998259707983764,-0.00818998527608944,0.0004304659402584784,false
by_occupation,hours,Farming/forestry/construction,7,-0.00410060386985362,-0.0073560981037914495,-0.002156646358516588,true
by_occupation,hours,Farming/forestry/construction,7,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,7,-0.002920513811039943,-0.006533128761373602,0.0005970270605569713,false
by_occupation,hours,Farming/forestry/construction,8,-0.00428239278651141,-0.008730429160044425,-0.00013606671311356539,true
by_occupation,hours,Farming/forestry/construction,8,-0.0025165776850895726,-0.004577741640722999,-0.0011135922237782802,true
