extract_group,outcome,industry,occupation,cum_irf,abs_cum_irf,n_horizons,candidate_type,robust_candidate
all_industries_service_hourly_income_median,hourly_rate,Energy_intensive,Service,0.3699327609159918,0.7294118305701448,37,Strong Net Effect,true
all_industries_service_hourly_income_median,hourly_rate,Manufacturing_Construction,Service,0.10269192305428045,0.7196379375852227,37,Strong Net Effect,true
all_industries_service_hourly_income_median,hourly_rate,Services,Service,0.09078700160874566,0.12945700813095187,74,Persistent Significant Response,false
all_industries_service_hourly_income_median,hourly_rate,Trade,Service,-0.1055169101655981,0.20219370298399053,74,Persistent Significant Response,false
all_industries_service_hourly_income_median,income,Energy_intensive,Service,0.38056211327848766,0.7445385553380943,37,Strong Net Effect,true
all_industries_service_hourly_income_median,income,Manufacturing_Construction,Service,-0.032164985159564646,0.850260053767596,37,Strong Dynamic Movement,false
all_industries_service_hourly_income_median,income,Services,Service,-0.10457922882502174,0.17447074902727863,74,Persistent Significant Response,false
all_industries_service_hourly_income_median,income,Trade,Service,-0.32817644105102967,0.3858357635805519,74,Strong Net Effect,true
all_industries_service_hourly_income_median,median,Energy_intensive,Service,0.38290279711833775,0.8879804173469299,37,Strong Net Effect,true
all_industries_service_hourly_income_median,median,Manufacturing_Construction,Service,0.12566456973844053,0.9243092484582559,37,Strong Net Effect,true
all_industries_service_hourly_income_median,median,Services,Service,-0.05817993112189131,0.1528193640023881,74,Persistent Significant Response,false
all_industries_service_hourly_income_median,median,Trade,Service,-0.2853501868988904,0.3228869776319184,74,Persistent Significant Response,false
energy_intensive_all_occupations_unemp_emp,employment,Energy_intensive,Administrative support,-0.13362696216924216,0.14147940821281038,37,Other,false
energy_intensive_all_occupations_unemp_emp,employment,Energy_intensive,Farming/forestry/construction,0.3917906527786307,0.4082439072924283,37,Strong Net Effect,true
energy_intensive_all_occupations_unemp_emp,employment,Energy_intensive,High tech,-0.18907486861533762,0.3570520892411064,37,Strong Dynamic Movement,false
energy_intensive_all_occupations_unemp_emp,employment,Energy_intensive,Machine operators/transport,-0.20375161344755502,0.21107401846064613,37,Persistent Significant Response,false
energy_intensive_all_occupations_unemp_emp,employment,Energy_intensive,Managerial,-0.15295978482178488,0.17997650723699377,37,Other,false
energy_intensive_all_occupations_unemp_emp,employment,Energy_intensive,Precision production/repair,-0.014633114451298007,0.20200823994620454,37,Other,false
energy_intensive_all_occupations_unemp_emp,employment,Energy_intensive,Professional specialty,-0.022225464226440436,0.16836747727905707,37,Other,false
energy_intensive_all_occupations_unemp_emp,employment,Energy_intensive,Sales,-0.0948594814243316,0.297515880366602,37,Sharp Peak Response,false
energy_intensive_all_occupations_unemp_emp,employment,Energy_intensive,Service,-0.23100165943821047,0.4846583886678874,37,Strong Net Effect,true
energy_intensive_all_occupations_unemp_emp,unemployment,Energy_intensive,Administrative support,0.06877635746542479,0.06878804221311506,37,Other,false
energy_intensive_all_occupations_unemp_emp,unemployment,Energy_intensive,Farming/forestry/construction,0.05782322619645118,0.08373573315451793,37,Other,false
energy_intensive_all_occupations_unemp_emp,unemployment,Energy_intensive,High tech,0.006832120678025351,0.07107113384048232,37,Other,false
energy_intensive_all_occupations_unemp_emp,unemployment,Energy_intensive,Machine operators/transport,0.08933582226841098,0.0911163745771428,37,Other,false
energy_intensive_all_occupations_unemp_emp,unemployment,Energy_intensive,Managerial,0.04240764555537945,0.047460157989541,37,Other,false
energy_intensive_all_occupations_unemp_emp,unemployment,Energy_intensive,Precision production/repair,0.04473307368519097,0.05613511089591114,37,Other,false
energy_intensive_all_occupations_unemp_emp,unemployment,Energy_intensive,Professional specialty,0.019681155588962242,0.03784933660749543,37,Other,false
energy_intensive_all_occupations_unemp_emp,unemployment,Energy_intensive,Sales,0.11984309517490595,0.14514126887648038,37,Strong Net Effect,true
energy_intensive_all_occupations_unemp_emp,unemployment,Energy_intensive,Service,0.14006829104390078,0.17097233861980365,37,Strong Net Effect,true
