horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.00035628637990147604,-0.00383117316191536,0.0035224960824828525,-0.002726050642637256,0.0019793466001511956
1,-0.005813352133404046,-0.011529848300914119,-0.0011143606642438214,-0.008966086857460542,-0.0026436913985611516
2,-0.005425520032734661,-0.012118965721850374,-0.00044862173217700713,-0.009165555874290335,-0.0021131676696982435
3,-0.0012380010391007652,-0.007716546448852105,0.005396738536804497,-0.005477921399311916,0.002658364237114039
4,0.003563788129836099,-0.002670612868036251,0.012473807315270381,-0.0006991389397372149,0.009040462043215595
5,0.003017596453826493,-0.004186844525483997,0.012785957732794707,-0.0014618324265796238,0.00858481493079924
6,0.0007430609483888128,-0.006626738322030071,0.009869937369612456,-0.0037372639059200467,0.00604180064878031
7,0.003341210923606833,-0.004456660001912809,0.01177786356891217,-0.0015825330576327012,0.008238789056191558
8,-0.0032097709922885094,-0.009933686705246957,0.003916420712352101,-0.007153456075410385,0.0006802532139303184
9,-0.001047708507008312,-0.007382204770528653,0.005195964842470412,-0.0048881006089923325,0.0028253663521977876
10,-0.0008837282777285103,-0.007296527884319586,0.00489655780200953,-0.0044971161331169105,0.0028098226351075286
11,-0.0016752895348000354,-0.008594365242897462,0.005796061301895923,-0.005752157155715117,0.002525813016409613
12,0.002842704751946208,-0.004388963568295594,0.008935182444096627,-0.0012702334252253072,0.006530416809034314
13,-0.0009810795253853454,-0.008664955121082273,0.005867390268100748,-0.005362949007998062,0.0029091889394446393
14,-0.0004950008840446073,-0.009065993689499846,0.007088079201964694,-0.0053551211923115825,0.0035895006996870486
15,-0.007151742881217027,-0.016690537336521632,0.0014479577325386354,-0.012265420637105727,-0.0022524427577609533
16,-0.0068230553613016385,-0.014991326587539721,0.0005837096020354024,-0.011601398788163547,-0.002222941992365897
17,-0.0013391816594194475,-0.00842515455210237,0.004626582523309487,-0.0052831358412238055,0.0021906687494062144
18,-0.005309033632303461,-0.012712498891924122,0.0011676074482490943,-0.010015311203030154,-0.0014169274175087013
19,-0.003499011507330927,-0.011155553715058228,0.00408619187681709,-0.0088439143523095,0.000634844945041551
20,-0.00644817468294793,-0.013327700357638285,2.7803958959141117e-6,-0.010896943229066647,-0.0022706466021123793
21,-0.006772295275718355,-0.01376319581300592,0.0004078821204693056,-0.011306686109438446,-0.0019734996447818695
22,-0.0063927681341020524,-0.013514865977532185,0.0018742279799624194,-0.010910361525644677,-0.0017474030542433683
23,-0.006976045080674159,-0.013702522637684376,0.0008472962465582252,-0.011385158159525687,-0.0026000939010862416
24,-0.0048245017354591625,-0.012860114077492093,0.0022137671563964125,-0.009750214396376859,-0.000416184090514019
25,-0.008585373718623966,-0.01634346731667631,-0.0009312878721541235,-0.013149444771958486,-0.004112432730801185
26,-0.004843948994386463,-0.012705429684487983,0.0022842737805949306,-0.00990974622314476,-0.00039736183149458384
27,-0.006550973282506521,-0.015033412583671447,0.0007763009571878374,-0.011422985676425435,-0.0021760721679854175
28,-0.007215145633716708,-0.016599875059756325,0.0010043377803930715,-0.01283522180459237,-0.0020670565788468293
29,-0.0036600703696664165,-0.0112873480762725,0.003612869962342382,-0.008538520013517247,0.00018072873593995504
30,-0.0033832778623789127,-0.01135727320648755,0.00325864664748776,-0.00804574581289339,0.0006032741612647888
31,-0.006355054349632351,-0.015297637073845828,0.0013521114326459768,-0.01140092080431458,-0.0017194643309621392
32,-0.006380370147331891,-0.015686639929898823,0.0005296621260036114,-0.012211207255057975,-0.0021877311063099644
33,-0.014031235313617762,-0.02123458503763354,-0.007593761642813006,-0.018337103694323932,-0.010313689348792423
34,-0.010155502188264911,-0.01700959831410926,-0.004389217433888472,-0.01436788369720748,-0.006903395708208885
35,-0.010979887433272006,-0.018537041192100034,-0.003972128113363737,-0.015105700977888919,-0.0071118354173463905
36,-0.0076657594791210105,-0.015620037864365468,-0.0009061320338178518,-0.012471490100981007,-0.003295678230622612
