horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.006865817384138397,-0.0108068951940756,-0.0038511644029600605,-0.009148032894991295,-0.0051055337319921975
1,-0.006890403411578972,-0.011114171572468072,-0.003562315980553946,-0.009276336314296859,-0.0046341929951205976
2,-0.003690295248419131,-0.007620167201963731,0.0001975866179233011,-0.006179570019403578,-0.0014434663546410063
3,-0.00628382035837475,-0.010088193320011651,-0.0024584712095981113,-0.008987949062731211,-0.003936363948338056
4,-0.009330805297151152,-0.013995157887381312,-0.004706953150578645,-0.012168159027718069,-0.0064064114212016455
5,-0.007852588203946444,-0.0128389766143835,-0.0025701228951356594,-0.010761018828892204,-0.004627357853025472
6,-0.011776583458392094,-0.018036424894471156,-0.005619496291636911,-0.01524763439743888,-0.007871139714087828
7,-0.01033822507108523,-0.01637428614895864,-0.00338827315086222,-0.01412235385281491,-0.006103362810193268
8,-0.008789098842976593,-0.014246819420024662,-0.0037457818617164153,-0.011914351926263807,-0.00606752908929148
9,-0.012079378506313593,-0.016980711954361048,-0.008037285461561667,-0.014949390969790822,-0.009829943174147428
10,-0.00809091512113939,-0.013063264754173328,-0.003647626587934446,-0.011105011110185995,-0.005312394641858296
11,-0.009413951139371109,-0.015338465305818158,-0.0047924538801161955,-0.012946698835292522,-0.006610150136044431
12,-0.009543968577021677,-0.0159141937370501,-0.00465738258192324,-0.013498229983279531,-0.006623023947438128
13,-0.009156277474043491,-0.014668865189968518,-0.004438190590939012,-0.012711181524725064,-0.006292446199461146
14,-0.009407313535820352,-0.01517290155278613,-0.004054292323191673,-0.012827755252530524,-0.006133892293565817
15,-0.011824795178820081,-0.018000641236844354,-0.006836331680515113,-0.015674155591272172,-0.008435811241747346
16,-0.009401333243501543,-0.015624585991608944,-0.003867327701671465,-0.013048713368700622,-0.005978017613320641
17,-0.013180985998546179,-0.01999232683823832,-0.007074864057176892,-0.017196419517495728,-0.009486122006217795
18,-0.010608803819926281,-0.01724723444196843,-0.0031341352516732167,-0.015060582470491,-0.006682319953396219
19,-0.007763663280568144,-0.0146871220461391,-0.0006110953249240658,-0.012118889631067973,-0.0034398000115327485
20,-0.008436344050960776,-0.01511477765957343,-0.002001023987057285,-0.012529750162168556,-0.0050256035380137135
21,-0.010419375179797265,-0.016867262777821194,-0.004829704766975088,-0.014739796424023496,-0.007160064601106279
22,-0.00850217998633106,-0.01525133783584572,-0.0027140252478593044,-0.012865946846755589,-0.005519266525158316
23,-0.010025664672563333,-0.018495792663092772,-0.004115441054235352,-0.014971728837122066,-0.00646110868443286
24,-0.014513439523388965,-0.02303781925288177,-0.007876533459690135,-0.019739398688629756,-0.010749399800454371
25,-0.016686316865939566,-0.024183830672319735,-0.01040547361932746,-0.021503470178700194,-0.01305902184074336
26,-0.014012843454443152,-0.02193882780284382,-0.006821218914528259,-0.019165343417929536,-0.009676965061944527
27,-0.013124004273671034,-0.02112258105075429,-0.00597642580018927,-0.018159576314190372,-0.008673507645809056
28,-0.012885258438560565,-0.019326126565850903,-0.006622214336002761,-0.017468354605383783,-0.008829494615284997
29,-0.013031992805444363,-0.019952751057335814,-0.006426343430460842,-0.01765639739180871,-0.008743130824616785
30,-0.012816914668532667,-0.02062875017327529,-0.0063616483241852664,-0.017761926836659135,-0.008692625746010405
31,-0.011737261916162008,-0.01942423573417147,-0.004809236596752368,-0.01638400524476987,-0.007692973038218038
32,-0.015232386818955775,-0.02263919104097045,-0.009185434681947994,-0.019523334921558992,-0.011088961650273108
33,-0.012465572209186227,-0.020361264479842597,-0.006071928013305075,-0.017055971056804807,-0.008327643533081786
34,-0.01616938773953361,-0.024206714419506507,-0.00967493483248432,-0.02030396853616967,-0.011830904829700341
35,-0.01214450406791162,-0.020610319349251626,-0.0049764394621425925,-0.01704672418958282,-0.007634510284253877
36,-0.016293011107059108,-0.023813894578065115,-0.008696802465287378,-0.02104008102296133,-0.01161377808780529
