horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0014848424539981172,-0.00752518230100499,0.0008057478303907862,-0.005673301008369197,0.00015754630990991777
1,0.001986130077069638,-0.001050692604678213,0.0049087965267576705,9.603491815118165e-5,0.003548011231065757
2,0.0034730805153734465,-0.0004876394548444193,0.007137644098089376,0.0008589651254549894,0.005683403062068475
3,0.00037701685057527,-0.004522487469055818,0.004400016616461795,-0.0028127559123171304,0.002759020637279869
4,-0.0022294539907940394,-0.006983881029097307,0.0018688739341089556,-0.005095386752588287,0.0005113286892505231
5,-0.004611256705510913,-0.009745521717839363,0.00035331571456001607,-0.00798554625641633,-0.0016782013363195888
6,-0.0020910416916035475,-0.007446142595738026,0.0027695613108932476,-0.005307017175303082,0.0005544253395105042
7,0.00031832679952087536,-0.004413773624711569,0.0049888642004568785,-0.002682323380258229,0.002999575406817118
8,0.0005952634470778368,-0.0038288072995255294,0.005022359938211176,-0.002169838721612359,0.0034124301769525747
9,0.0008231837510339398,-0.003450845695056033,0.004204572555272535,-0.001720972412717858,0.0030137314644431324
10,0.00024002602299795205,-0.0033562075041424417,0.003184566886645588,-0.0018673080921007275,0.00198711599948697
11,0.0008836802760418441,-0.0024467503517777538,0.004821517057028641,-0.0013235573027987754,0.0029180895788517873
12,-0.001128855919265031,-0.00567330729537176,0.002269181016778093,-0.0038945441137917636,0.0006796612677150665
13,0.000257143584589277,-0.004936483411285403,0.004058161274433827,-0.0027444553677963557,0.002493995973382711
14,-0.0014772424277440725,-0.006695341241031461,0.003242524724035975,-0.0048616740875689615,0.0012466494188771004
15,-0.0028781338585495498,-0.008661820795484287,0.0020344253276066366,-0.006638589708565583,0.00014693029809629285
16,-0.003675994846409615,-0.009920766334179603,0.0017240296730163585,-0.007726118141736949,-0.0006155627945660623
17,0.0006087321112400606,-0.00682099531149531,0.0071534382625866415,-0.003802292410027542,0.004603409389677909
18,5.221946015768622e-5,-0.006268163385743221,0.0060524842622643165,-0.00424814044018003,0.003984121835167636
19,-0.0016444950703219054,-0.007176498737050474,0.004625445098876942,-0.005500766266594742,0.0016058203527980232
20,-0.003064855102262316,-0.008521194306606295,0.0020434615059639477,-0.006575303027491531,-0.00025632182888970937
21,-0.005952382600054908,-0.011016068278297405,-0.001711046852512427,-0.009091959571073708,-0.003661504297082444
22,-0.005775477945599717,-0.010825692330001507,-0.0017808180155924145,-0.00903761015586313,-0.0036628036255482036
23,-0.007416549311826257,-0.01237116355451068,-0.004047881712652826,-0.010204426838374872,-0.005593436323177988
24,-0.007979761385751466,-0.012759847578776882,-0.0037470399626809304,-0.011214128299017422,-0.005864746559665013
25,-0.004543680032077803,-0.009919644274892534,-0.000233024706914965,-0.007994757108672304,-0.0020405738184547948
26,-0.0014927389054231236,-0.006914558171612895,0.003715471609279737,-0.0048259610344892,0.0012964398628301688
27,-0.00023245214134071554,-0.006555387628356794,0.005803532699327579,-0.004277044452103265,0.003231984544338259
28,-0.0014709952258702501,-0.008192417177222116,0.006027825202451206,-0.005488679161155596,0.0029458537062405023
29,-0.0020528765480782047,-0.008410674315863502,0.005529486504538029,-0.006398863539080898,0.0018075176568729907
30,-0.0008391110780630545,-0.007192327956225535,0.005720942920424655,-0.004787289742589366,0.003109891795763011
31,-0.0023113674541256415,-0.008306870032648857,0.0033366583097251467,-0.005965628730659752,0.0013834123535993465
32,-0.0012596633743972557,-0.006855114645500977,0.004563193060346936,-0.004750085461773411,0.0022453243501060643
33,-0.0009708374639922409,-0.006137033340229806,0.003630729020865802,-0.003997774735177546,0.001807724839620605
34,0.00018467102250729084,-0.004913722870007189,0.004577948485115073,-0.0024731870237860876,0.0030838569932684482
35,-0.00010650668036737729,-0.005690972427335784,0.00543843535902273,-0.0031443793833060402,0.003104035179414594
36,-0.004064781214764164,-0.009370204827472597,0.0011991914162849246,-0.006803683992850581,-0.0006511696014608547
