horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.005340250285918984,-0.003645384668506505,0.014567029485968311,-0.00034209870184761463,0.010626739839411887
1,0.00644978479420403,-0.00452430336722198,0.016405412839443172,0.0004028129306946045,0.012524807299756455
2,-0.007940992218481257,-0.019631235803539468,0.003120957337856313,-0.01506860015821794,-0.0017073836102037467
3,0.0051575794412281155,-0.005246398335659602,0.015373224616061665,-0.0007961211506679437,0.011383451746397046
4,0.003722041246450119,-0.0048868197949934675,0.013920274016364866,-0.0009354976131903414,0.009850599018384842
5,0.011861607517285183,-0.004739779491042501,0.025045372162941323,0.0015580872668884988,0.020085235698695726
6,0.015599516339230917,0.00811792202546826,0.022867360198146152,0.010829097056192774,0.020063499395482604
7,0.007645491595292765,-0.0003467695609412078,0.015549640500283839,0.002960001161255242,0.012672570913443275
8,0.01000731897545986,0.0005566011154871566,0.01957026067948044,0.004378547481467761,0.0155487115559945
9,0.012383766845244991,0.0037072830020430155,0.021593339514622084,0.0071502100803657155,0.017936505475688688
10,0.003244203816848178,-0.010384398874853356,0.015228630278537846,-0.004465460361465042,0.009651730886865894
11,0.004158094805993519,-0.00475194813213474,0.01361982928826003,-0.0007099551857956046,0.009747560863538243
12,0.005428641369577243,-0.002264112993463292,0.014181898878468983,0.0009244100767197361,0.01113777816772787
13,0.007429819335001416,-0.0019372334852161902,0.019902324021182822,0.0013951416281202224,0.014591294078770614
14,-0.006718148024476829,-0.014676482965848827,0.0010942331780270757,-0.011283252201885492,-0.0016625062014027714
15,-0.018877968283094564,-0.03158783550524251,-0.005384708712526418,-0.02573518043958551,-0.011104309005461973
16,-0.003608343474708094,-0.013103506422256753,0.005485486860567556,-0.010292014549043365,0.0014983438826571766
17,-0.007480171541099701,-0.014239475300695954,0.0016752377635022688,-0.011658254126788403,-0.0019121894540212198
18,0.0015118527056348578,-0.006567148021975296,0.010011618488962839,-0.003700961785946445,0.006362993157794505
19,-0.017730201763099,-0.028242819808884233,-0.0065948774497659735,-0.023789879700582585,-0.01074579106331601
20,-0.0031147981162188655,-0.013026527474744337,0.00862416356783307,-0.008618926481378426,0.003571989463064724
21,-0.0068323792853911625,-0.016270306254737157,0.004439234159337898,-0.012378531431065001,-0.0005340438166808893
22,-0.005802857524590095,-0.014681727909438757,0.005842199259683392,-0.01084271447309131,0.0010379649684975388
23,-0.004314981129736368,-0.012867222961923455,0.00632537678373154,-0.009557860219793678,0.0017911883212465727
24,0.01568456004764952,0.006422491826860301,0.025113120302415366,0.01055070122214361,0.021465163429059606
25,0.0025902528896072793,-0.010427292150569345,0.01610206988548165,-0.004774953573219203,0.01035168210243128
26,0.0011379211428174348,-0.008996556942149576,0.01080304558863307,-0.005233440501417022,0.006742828684063827
27,0.006632978733619627,-0.0015225095233840193,0.014904829852499364,0.001793913458534373,0.011765013944569278
28,-0.003622734044894572,-0.013974462919158822,0.0076046627311707644,-0.009615507867647822,0.0027853910595951755
29,-0.012293672871488049,-0.021971759854627508,-0.0021231575807012133,-0.017954675348702924,-0.005951269605287295
30,-0.008243506814209342,-0.02346825681764114,0.007711540156677141,-0.016466691909341837,0.0007949605858053963
31,-0.009172587636501533,-0.02280048297579812,0.006129243588947463,-0.016497270540793346,-4.7623095536963866e-5
32,-0.010473126996612611,-0.0223486265390127,0.00047623064269897153,-0.017520630010820118,-0.0041070078199202335
33,-0.0035307212446746825,-0.013369072835233087,0.005825905837863783,-0.009066898046271064,0.001642740865151118
34,-0.01368729500537135,-0.031239298365943448,-0.0028795369674800165,-0.022653202723349294,-0.0064393710696345925
35,-0.007630224578349818,-0.017160121559126513,0.0019347820412974554,-0.013522918746318072,-0.0018072007154881558
36,-0.006983201945012151,-0.018122101767553474,0.0034484592383726134,-0.014027452232595472,-0.0005646054969408575
