horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,8.450861637847666e-5,-1.832206722515504e-5,0.00020979112949142715,1.6990512628384483e-5,0.00015478404445638732
1,-0.0001007945995010618,-0.00030239821779790043,8.641844598142751e-5,-0.00021470043138200029,9.954776480209821e-6
2,6.120492148118443e-5,-0.00013717618298493973,0.0003114817528635929,-5.524166587385555e-5,0.00020903513555009013
3,9.060451716985969e-5,-3.176455473016254e-5,0.0002541000132399785,1.718292369364269e-5,0.0001945083114806239
4,0.00013557584596478903,-0.0001640299935848811,0.0003407260962849046,-3.8353338780579385e-5,0.00025841655621719543
5,-0.00011009697347605574,-0.00029691900068031424,8.812838771840573e-5,-0.00022633757182883695,8.59651284951425e-6
6,-0.00012360248950587586,-0.0002960863389096666,2.3196329008517112e-5,-0.000233457962605067,-3.7440331466267297e-5
7,-5.624105419050614e-6,-0.00023543599812773862,0.0002654749410958774,-0.00014546482449686777,0.00013475026669689498
8,-5.293966229342017e-5,-0.0003038297160633898,0.00015169430968334574,-0.00018721717961966332,7.341458745976329e-5
9,-1.7853366794755176e-5,-0.00018144988938172208,0.00014468411839923628,-0.0001339236698353245,8.009429858915193e-5
10,5.21134736569241e-5,-0.00012095454349582375,0.00023242458053792826,-4.355077420721692e-5,0.00014607711042147566
11,0.00013891082975623143,-0.00012174125934345144,0.0003641747154729598,-1.4909729082707526e-7,0.00028993465479574903
12,2.5162123810029717e-5,-0.00013836865717058386,0.0002006943989779698,-6.207548895595648e-5,0.00013175203980222275
13,-4.698997028611612e-5,-0.00023921277525040298,0.00011334640835403546,-0.0001517897402049433,4.69284863881845e-5
14,4.683432637730241e-5,-0.00014858315519368322,0.0002372153330063803,-7.696642348697279e-5,0.00015556739848770665
15,7.620685151700604e-6,-0.0001504488758970547,0.0001950585155791021,-9.142548201611093e-5,0.00011506910572802103
16,-8.553041069838722e-5,-0.0002860917579255896,0.00014405989757736333,-0.00020563523945651334,3.8632118063037515e-5
17,-0.00034285645128859937,-0.0004995414287853998,-0.00017633270159935713,-0.0004348518246635575,-0.00024531282717712576
18,2.6294311868111437e-5,-9.301586111214982e-5,0.00020857308491147174,-4.5737697396492666e-5,0.00011586651171328579
19,-3.288360107984457e-5,-0.00028192087352452307,0.00020258309487624694,-0.00019537224010126068,9.600353342066853e-5
20,-0.00019938468822402328,-0.0003936074157864513,-2.124341761544464e-5,-0.0003001751905349383,-9.122346874700859e-5
21,-0.00014023864592130624,-0.0002792985394168395,-7.809113192258334e-6,-0.00024357014808558917,-4.86274213024179e-5
22,-0.000133991687985585,-0.00029299421466487527,0.00012192147750945197,-0.0002285966105061359,4.567608853971335e-6
23,2.5817727859448062e-6,-0.00027996190788315685,0.00022465140901818483,-0.0001429031554135285,0.00011631861563155772
24,-0.0001466231492027546,-0.0003260763648959727,2.909051096706649e-5,-0.00026494821815179013,-5.6108870216129596e-5
25,-3.0549829949515135e-6,-0.00018269489233802084,0.00015228339469879109,-0.00011383521407268086,9.576263050422596e-5
26,-6.881949519206058e-5,-0.0002382828306031903,0.00010074321793130777,-0.0001516366494667114,3.666160467839024e-5
27,-5.787818362973297e-6,-0.00015106921855430544,0.0001343324996749009,-0.00010227247127387793,7.221060495048395e-5
28,-2.786900561675548e-5,-0.00023747668583458528,0.0001865984294109876,-0.00016056128239642318,9.89804956681986e-5
29,0.0001105897849319222,-0.00020866772836685142,0.0004141658167902061,-9.024099735613945e-5,0.00027769277923514956
30,-9.44759284612119e-5,-0.0003037122868719269,9.868729438422751e-5,-0.00021541845637007304,2.49323492857456e-5
31,0.00014571676059779254,3.047848415481288e-6,0.0002966284525718672,5.652241925257813e-5,0.0002469271160157953
32,-1.7442045750966512e-5,-0.00021677063661193206,0.0002490614160443567,-0.00013865437681887506,0.00013148034072326396
33,-8.343908071338824e-5,-0.00030862610863374143,0.00019265018398186373,-0.00020787354111023067,5.9967140147560214e-5
34,-2.1564914314739993e-5,-0.00018580948612020886,0.00013813735467080638,-0.000117458915615086,6.81231396634147e-5
35,1.0513058563935655e-6,-0.00015392368897881422,0.00015374098699916025,-9.520958751414289e-5,9.535129275258052e-5
36,-0.00010790750675037934,-0.00030956968438043117,0.00011065821446688498,-0.00021808101616270585,2.302639315694967e-5
