horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.0016047055854955595,-0.010939516481717294,0.012803944094205903,-0.005675144127670916,0.008170866505793073
1,0.002477772570018829,-0.007191834906618082,0.01349877894646415,-0.0035759557884723603,0.00852258987903491
2,0.001682541365752655,-0.00728925894824628,0.011830078926898899,-0.003759655988403216,0.00795484518759204
3,-0.011122322058246523,-0.02199813482707692,-0.0008871844717235448,-0.017308751698560432,-0.0051277541390356285
4,-0.006231400039067928,-0.015615951666832929,0.0021372282544275456,-0.011580568333055824,-0.0010029173964950216
5,-0.012328475147030834,-0.024318990889223416,-0.0031822986773174765,-0.01996779828632535,-0.006868453188258896
6,-0.003026141098227737,-0.010177044749542157,0.004242130367119928,-0.007385971211487948,0.0011794586530820524
7,-0.0006922903758032513,-0.008533706573572393,0.008520749188584028,-0.004969536749470832,0.004740367334944214
8,-0.005443004545725893,-0.014861729462698271,0.004819954493863085,-0.011357334430392815,-0.00019121128495006978
9,-0.0032952191962172172,-0.011599754158868079,0.008590204367196583,-0.008273367886888483,0.003963797004259536
10,0.0013474242155515628,-0.008546263394924916,0.01209707576205563,-0.004674553621179416,0.008046815161834506
11,0.007111909573696467,-0.003645226496047621,0.01762515354108031,-1.205345052292077e-5,0.013069527091111543
12,-0.00721619132733422,-0.019956171935433212,0.004709538569428746,-0.014322132495740887,-8.385708072927711e-5
13,0.0019911646794028666,-0.0071658306865542845,0.01109683710856316,-0.003932579684301651,0.007913081340781478
14,0.007991613601931994,-0.0016848951587155447,0.018840025898340315,0.0023860770644363264,0.014229563450355249
15,-0.005285322707090217,-0.015563315477201398,0.004093518367907146,-0.011274048049540852,0.0005799003096946228
16,-0.00038580461880196877,-0.009068209859571134,0.007414576204941159,-0.005478141021853536,0.003981871448914405
17,0.004892204492946093,-0.007275607697133233,0.01799600155385959,-0.003419054833448832,0.012520079391098577
18,0.005859157065613594,-0.003374656318141058,0.015949549054197806,6.589067155530863e-5,0.011825346368173617
19,4.38322410047423e-5,-0.008689886607123384,0.011277559679731977,-0.005403904300224802,0.00636535955266769
20,-0.00439473061216863,-0.014869961730427459,0.00554222464652765,-0.010865643213097229,0.0009701234504637937
21,0.009402447149316658,-0.0006037519955218885,0.01972880649430946,0.0038484299800254267,0.016645152546321387
22,0.011459007321622024,-0.002638041435523866,0.023007783037125123,0.003988824812789561,0.018757027477998792
23,-0.0072369403543145186,-0.017082923713207993,0.0015657762498663295,-0.01291359065512607,-0.0019429914315957832
24,-0.008950793666698185,-0.02042040996974994,0.000694269805787023,-0.014997590487945694,-0.0027696210075262087
25,-0.00914349125133116,-0.018442233614665446,-0.0003856694841832889,-0.014426846149940494,-0.004275645211431218
26,-0.002692052358311812,-0.014128735760545453,0.008348561274463595,-0.009347083321783491,0.0034069406554050026
27,0.012271950414835149,0.0007240233396823281,0.024816936170225394,0.00593012727664515,0.02002528831059394
28,-0.009913148859824831,-0.02296265989405519,0.0012363344138921935,-0.017584814346553353,-0.0036473373816782477
29,-0.010315404410217218,-0.021182825289216993,-0.0022406788188296146,-0.017204843017157766,-0.005644223980285469
30,-0.004373441871910784,-0.016076725279602525,0.006764958317098852,-0.010990322853943982,0.0018827165790284124
31,-0.017030896054561696,-0.027271206395872362,-0.006811085125150969,-0.023169198865457957,-0.011321945290037154
32,0.0044711052311855815,-0.005413041656795682,0.013880512049110071,-0.0017615570201129985,0.010298590045994777
33,0.006311584981813841,-0.005261899098331864,0.016311956917178915,-0.0006125222908300344,0.012715378585987081
34,0.008189516082366946,-0.0034418821291140426,0.021730315836631157,0.001442565340070064,0.01570861406094881
35,-0.0014110127790848235,-0.013578696895282065,0.009530361437420353,-0.008221815265745646,0.004988989062483606
36,0.009029022619522473,-0.0008719598148607399,0.019513796473773406,0.003795596349188954,0.01544050728502033
