horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.0002664638468271943,-0.006200575659337391,0.006461851918806237,-0.003745491535704434,0.003959146042893803
1,-0.002801174159959242,-0.009110787842128248,0.0027657841338668103,-0.007158309894459862,0.00027089721365453024
2,0.0006654557374845884,-0.0046845659602766,0.00634596720060152,-0.0029627247786572944,0.0035830976459955096
3,0.0003030518145781249,-0.005523100789925747,0.005406001990413695,-0.003116247008796712,0.0032771296545814404
4,0.0007672257738959557,-0.005715909282393052,0.006379950008271816,-0.0031943941415491332,0.0038475783594572317
5,0.0022176596571062924,-0.002704539210354107,0.007313725848263682,-0.0008119564191561581,0.005361463008849645
6,-0.002905026587954292,-0.008277410612519003,0.002175764156090945,-0.00635062253374161,0.0004594604978558955
7,0.005002711306497233,0.000389131842349422,0.010042701317564268,0.00171885386118833,0.008141903020455666
8,-0.004216678158294218,-0.007893252215175249,-0.000490899234095708,-0.006726474317077022,-0.002167193448801614
9,-0.00589459322872617,-0.010728065822547511,0.00016293361725297755,-0.00889710231714308,-0.0023436872985321583
10,-0.0004907083377798646,-0.006332749411063209,0.005042236851936786,-0.0044106509366869774,0.001869008824625667
11,-0.0012849853813736095,-0.005206789941322516,0.0030043691127252057,-0.0037151818347615105,0.001776798001857862
12,-0.005223837847330819,-0.00970439699943578,-0.0005606566357293811,-0.007823908260726847,-0.0023382842064464176
13,-0.005312159980614414,-0.010599458610210073,0.0001736361428744974,-0.007986309678713383,-0.002277017388560508
14,-0.005558232244299739,-0.011292339171756826,0.00015796679098346346,-0.008622877027251539,-0.00195634893058944
15,-0.009190374524985251,-0.013970570194710855,-0.002936964968770564,-0.011705789026691879,-0.005221972116338474
16,-0.0034409471512618283,-0.009779858374265952,0.0022220429433007297,-0.006071193508876761,0.0003762257841622477
17,-0.004655136874884428,-0.010107133010410338,0.0015977067454029902,-0.008062297935081557,-0.0006179016895443779
18,0.0037880242295099866,-0.00048427523000175304,0.009158801934350279,0.0013409830032814342,0.007167730812700166
19,0.005523031368100506,0.00028121462214573695,0.01183286515566093,0.0020827332749180664,0.009326940866630148
20,0.00019199227795828618,-0.0054928702120624825,0.005459331222369845,-0.0029567251530336733,0.0032896829255133903
21,-0.005063845110523231,-0.010999440664879203,0.0011582488667253527,-0.008134940804383602,-0.0014327288426179774
22,-0.01237216066704775,-0.019652034312150287,-0.007016747429883758,-0.01740305905339014,-0.009526181452274133
23,-0.011325867476896193,-0.01741421060973179,-0.005007697182813167,-0.015013667705440617,-0.007605154795269343
24,0.002162663679696949,-0.0036321131267584056,0.0083472032184431,-0.0013793676547476253,0.006137027202546344
25,-0.006941821843540547,-0.013028613875169112,-0.002220447053754417,-0.010564878179900483,-0.004093594714178698
26,-0.006423578480109038,-0.012231255130918434,-0.001028840180464485,-0.010534315100128047,-0.0029203404631591872
27,-0.00914569003487629,-0.014524590253468642,-0.002763599713137407,-0.012456456920110439,-0.00544700788128959
28,-0.00425328948581874,-0.011815460479562237,0.002560337709272116,-0.008819788581579257,-4.173864511778681e-6
29,-0.007610790487814233,-0.014382583338161937,-0.001840636703394339,-0.011624623673936713,-0.003981670681768213
30,-0.011161557852835248,-0.017927654951818865,-0.005984517126742091,-0.014918213586978013,-0.007771738239850473
31,-0.0078019046480477736,-0.013695891586936772,-0.001791847933089538,-0.011468882480257375,-0.0036403051697149434
32,-0.011043288403339067,-0.018451624934005328,-0.001981486971273868,-0.0157553380153558,-0.007034930334070043
33,-0.008319699299350761,-0.015596402991448204,-0.002068790693283095,-0.012676550103175125,-0.0039008117297689646
34,-0.011977352353969021,-0.019043068664276474,-0.0065701430246491305,-0.016643504530054285,-0.008873256479379947
35,0.0016429138913947496,-0.005662986380038683,0.008393700256090963,-0.003031877250231757,0.0057416947309197955
36,-0.0019673656039940106,-0.008848315283025033,0.004831304317655754,-0.0058558671279096116,0.0021978632930394976
