outcome,industry,occ_id,Occupational_Group,cumulative_beta,n_horizons_used,Plot_Label,task_abstract,task_routine,task_manual
inequality,Energy_intensive,1,group1_Managerial,-0.006064273649571791,36,Managerial,6.6498565918997805,2.551007454782252,0.4185861581181451
inequality,Energy_intensive,2,group2_Professional_specialty,0.021622261865702392,36,Prof.,5.201768046841373,3.760444977168745,1.278474578192888
inequality,Energy_intensive,3,group3_High_tech,0.02208027239052474,36,High Tech,5.270634150663304,5.442518418580114,0.9959354110238694
inequality,Energy_intensive,4,group4_Sales,0.006803169618043045,36,Sales,2.30377454165445,2.647265424568607,0.37881874685757894
inequality,Energy_intensive,5,group5_Administrative_support,-0.05050312581762181,36,Admin,2.3391314018616036,5.333257164249304,0.2204110028876943
inequality,Energy_intensive,6,group6_Service,0.1650692699987604,36,Service,1.1954308450476947,2.4308198120037146,1.6022550546506165
inequality,Energy_intensive,7,group7_Farming_forestry_construction,-0.13987522142337627,36,Constr./Farm,2.3361823535471222,5.836463206855397,2.9314235861954288
inequality,Energy_intensive,8,group8_Precision_production_repair,-0.10526541982584331,36,Prod./Repair,2.4281536551965717,6.928135967122102,1.5667984158106814
inequality,Energy_intensive,9,group9_Machine_operators_transport,-0.07011128727706163,36,Mach./Transp.,0.8911292264882349,3.515737236919343,2.185799469928735
inequality,Manufacturing_Construction,1,group1_Managerial,-0.048568110410479565,36,Managerial,6.6498565918997805,2.551007454782252,0.4185861581181451
inequality,Manufacturing_Construction,2,group2_Professional_specialty,-0.023133139375553863,36,Prof.,5.201768046841373,3.760444977168745,1.278474578192888
inequality,Manufacturing_Construction,3,group3_High_tech,-0.11473541654575375,36,High Tech,5.270634150663304,5.442518418580114,0.9959354110238694
inequality,Manufacturing_Construction,4,group4_Sales,-0.039604775024749225,36,Sales,2.30377454165445,2.647265424568607,0.37881874685757894
inequality,Manufacturing_Construction,5,group5_Administrative_support,-0.020911453854169315,36,Admin,2.3391314018616036,5.333257164249304,0.2204110028876943
inequality,Manufacturing_Construction,6,group6_Service,0.2643167567959946,36,Service,1.1954308450476947,2.4308198120037146,1.6022550546506165
inequality,Manufacturing_Construction,7,group7_Farming_forestry_construction,-0.02074166711452016,36,Constr./Farm,2.3361823535471222,5.836463206855397,2.9314235861954288
inequality,Manufacturing_Construction,8,group8_Precision_production_repair,-0.056390547973256266,36,Prod./Repair,2.4281536551965717,6.928135967122102,1.5667984158106814
inequality,Manufacturing_Construction,9,group9_Machine_operators_transport,-0.004578058380394559,36,Mach./Transp.,0.8911292264882349,3.515737236919343,2.185799469928735
inequality,Services,1,group1_Managerial,-0.02315424592825712,36,Managerial,6.6498565918997805,2.551007454782252,0.4185861581181451
inequality,Services,2,group2_Professional_specialty,0.02773602083726161,36,Prof.,5.201768046841373,3.760444977168745,1.278474578192888
inequality,Services,3,group3_High_tech,0.018062095364618343,36,High Tech,5.270634150663304,5.442518418580114,0.9959354110238694
inequality,Services,4,group4_Sales,-0.1473544618534481,36,Sales,2.30377454165445,2.647265424568607,0.37881874685757894
inequality,Services,5,group5_Administrative_support,-0.033273632237859854,36,Admin,2.3391314018616036,5.333257164249304,0.2204110028876943
inequality,Services,6,group6_Service,0.08984574573950412,36,Service,1.1954308450476947,2.4308198120037146,1.6022550546506165
inequality,Services,7,group7_Farming_forestry_construction,0.08426739560362692,36,Constr./Farm,2.3361823535471222,5.836463206855397,2.9314235861954288
inequality,Services,8,group8_Precision_production_repair,-0.02561664240050969,36,Prod./Repair,2.4281536551965717,6.928135967122102,1.5667984158106814
inequality,Services,9,group9_Machine_operators_transport,-0.018836399806638916,36,Mach./Transp.,0.8911292264882349,3.515737236919343,2.185799469928735
inequality,Trade,1,group1_Managerial,-0.03794605457845038,36,Managerial,6.6498565918997805,2.551007454782252,0.4185861581181451
inequality,Trade,2,group2_Professional_specialty,-0.05912626734660119,36,Prof.,5.201768046841373,3.760444977168745,1.278474578192888
inequality,Trade,3,group3_High_tech,3.1737326628230766,20,High Tech,5.270634150663304,5.442518418580114,0.9959354110238694
inequality,Trade,4,group4_Sales,0.04123137968830062,36,Sales,2.30377454165445,2.647265424568607,0.37881874685757894
inequality,Trade,5,group5_Administrative_support,0.08098111128736692,36,Admin,2.3391314018616036,5.333257164249304,0.2204110028876943
inequality,Trade,6,group6_Service,0.08143090769707208,36,Service,1.1954308450476947,2.4308198120037146,1.6022550546506165
inequality,Trade,8,group8_Precision_production_repair,-0.02310887038444205,36,Prod./Repair,2.4281536551965717,6.928135967122102,1.5667984158106814
inequality,Trade,9,group9_Machine_operators_transport,0.05971769232752076,36,Mach./Transp.,0.8911292264882349,3.515737236919343,2.185799469928735
