outcome,H,model,R2,AdjR2
employment,12,Industry only,0.08692153014560033,0.0013204235967503308
employment,12,Occupation only,0.2335881586699654,0.006503168646251556
employment,12,Industry + Occupation,0.32050968881556596,0.009076629522700386
employment,24,Industry only,0.17974972090362873,0.10285125723834387
employment,24,Occupation only,0.09466256761463787,-0.17358556049954355
employment,24,Industry + Occupation,0.2744122885182665,-0.05814874591086139
employment,36,Industry only,0.127695833989932,0.04591731842648816
employment,36,Occupation only,0.08681442744188039,-0.18375907553830317
employment,36,Industry + Occupation,0.21451026143181207,-0.14550586874527416
hourly_rate,12,Industry only,0.0878736627717005,-0.0003966279278122542
hourly_rate,12,Occupation only,0.2473524235642196,0.015768553891671755
hourly_rate,12,Industry + Occupation,0.3317633214102278,0.01217186643251078
hourly_rate,24,Industry only,0.0780084331343841,-0.011216557207449629
hourly_rate,24,Occupation only,0.24794027286058262,0.01653727989460796
hourly_rate,24,Industry + Occupation,0.3215839857855609,-0.002875847099605755
hourly_rate,36,Industry only,0.06842543037608917,-0.021726947329450574
hourly_rate,36,Occupation only,0.2538545950866449,0.024271393574843314
hourly_rate,36,Industry + Occupation,0.3176140364762359,-0.008744467817738188
hours,12,Industry only,0.17088343768916814,0.09064635101392637
hours,12,Occupation only,0.0916722586537474,-0.18781320022202252
hours,12,Industry + Occupation,0.26730793440768075,-0.08311001000603713
hours,24,Industry only,0.23310981348013438,0.15889463413950222
hours,24,Occupation only,0.1269944490794911,-0.14162264351143472
hours,24,Industry + Occupation,0.37594457993375563,0.07748329207598648
hours,36,Industry only,0.26056746340571335,0.18900947599336304
hours,36,Occupation only,0.17969728571053822,-0.07270354945544999
hours,36,Industry + Occupation,0.45537372800534337,0.19490029357311622
income,12,Industry only,0.08480465232973156,-0.003762639380294308
income,12,Occupation only,0.2493130137760643,0.018332402630237832
income,12,Industry + Occupation,0.32992975977692596,0.0094613840180644
income,24,Industry only,0.07246833797924557,-0.01729279060340816
income,24,Occupation only,0.2554295310845537,0.026330925264416383
income,24,Industry + Occupation,0.3226900369058051,-0.0012408150088099035
income,36,Industry only,0.06361097577571806,-0.027007316891147992
income,36,Occupation only,0.2601451648339935,0.0324975232444531
income,36,Industry + Occupation,0.3183599355260893,-0.007641834439694017
income_share_var,12,Industry only,0.012141432201129287,-0.08345778403747106
income_share_var,12,Occupation only,0.3076762165818958,0.09465351399170996
income_share_var,12,Industry + Occupation,0.3182728418885159,-0.007770581556106881
income_share_var,24,Industry only,0.009543335313629941,-0.08630730965601896
income_share_var,24,Occupation only,0.3179684362387517,0.10811257046605993
income_share_var,24,Industry + Occupation,0.3273211817111479,0.005605225138218706
income_share_var,36,Industry only,0.018570551507004485,-0.0764064918955436
income_share_var,36,Occupation only,0.31231776132149236,0.10072322634349007
income_share_var,36,Industry + Occupation,0.3316289806427013,0.011973275732688915
inequality,12,Industry only,0.0975132164105249,0.010175785740575649
inequality,12,Occupation only,0.22233202428458254,-0.016950429781699805
inequality,12,Industry + Occupation,0.316895939597609,-0.009806002333969221
inequality,24,Industry only,0.10480542139234961,0.018173687978706
inequality,24,Occupation only,0.20756652431235267,-0.03625916051461564
inequality,24,Industry + Occupation,0.3091465462338526,-0.021261627306478736
inequality,36,Industry only,0.10865701055990629,0.022398011581832633
inequality,36,Occupation only,0.22560812718929268,-0.012666295214001755
inequality,36,Industry + Occupation,0.330146070958515,0.009781148373456894
median,12,Industry only,0.08529340748547987,-0.0032265853385058385
median,12,Occupation only,0.24870580045668012,0.017538354443350945
median,12,Industry + Occupation,0.33013874225913464,0.009770314643938072
median,24,Industry only,0.07111471632382615,-0.01877740790290039
median,24,Occupation only,0.26192544992875255,0.03482558836836869
median,24,Industry + Occupation,0.32844276629266855,0.007263219736988402
median,36,Industry only,0.060878543941555785,-0.030004177612487304
median,36,Occupation only,0.260230497125852,0.03260911162611413
median,36,Industry + Occupation,0.315944769775105,-0.01121207946288827
unemployment,12,Industry only,0.03036178809905976,-0.06054179426665329
unemployment,12,Occupation only,0.3902184111622431,0.2095423848399448
unemployment,12,Industry + Occupation,0.42058019926130297,0.1550127905894002
unemployment,24,Industry only,0.20110527064404116,0.12620888976692002
unemployment,24,Occupation only,0.40499440210448046,0.22869644717247462
unemployment,24,Industry + Occupation,0.6060996727485216,0.4255620227582607
unemployment,36,Industry only,0.2277601345708662,0.15536264718688486
unemployment,36,Occupation only,0.42858370040694127,0.2592751671941832
unemployment,36,Industry + Occupation,0.6563438349778075,0.4988347593426359
